L 256 T 2.280000
spin_corr:
x 0 value 1.000000
x 1 value 0.692023
x 2 value 0.569937
x 3 value 0.504258
x 4 value 0.462141
x 5 value 0.434102
x 6 value 0.407383
x 7 value 0.384656
x 8 value 0.368352
x 9 value 0.357352
x 10 value 0.342812
x 11 value 0.331586
x 12 value 0.320273
x 13 value 0.311117
x 14 value 0.300859
x 15 value 0.292094
x 16 value 0.283570
x 17 value 0.279328
x 18 value 0.266797
x 19 value 0.264406
x 20 value 0.255781
x 21 value 0.253867
x 22 value 0.247367
x 23 value 0.244398
x 24 value 0.239078
x 25 value 0.234625
x 26 value 0.230336
x 27 value 0.225711
x 28 value 0.222219
x 29 value 0.218094
x 30 value 0.211242
x 31 value 0.204844
x 32 value 0.207148
x 33 value 0.203625
x 34 value 0.201234
x 35 value 0.196984
x 36 value 0.192227
x 37 value 0.192578
x 38 value 0.190062
x 39 value 0.189109
x 40 value 0.185687
x 41 value 0.181187
x 42 value 0.178461
x 43 value 0.178148
x 44 value 0.173992
x 45 value 0.172570
x 46 value 0.169547
x 47 value 0.168172
x 48 value 0.165930
x 49 value 0.162914
x 50 value 0.165273
x 51 value 0.160906
x 52 value 0.159984
x 53 value 0.155172
x 54 value 0.156695
x 55 value 0.154187
x 56 value 0.153789
x 57 value 0.152883
x 58 value 0.154000
x 59 value 0.149844
x 60 value 0.145547
x 61 value 0.146414
x 62 value 0.143367
x 63 value 0.140016
x 64 value 0.143820
x 65 value 0.139219
x 66 value 0.141109
x 67 value 0.133578
x 68 value 0.138367
x 69 value 0.133883
x 70 value 0.134000
x 71 value 0.133555
x 72 value 0.131945
x 73 value 0.133180
x 74 value 0.132086
x 75 value 0.129734
x 76 value 0.130906
x 77 value 0.128250
x 78 value 0.124625
x 79 value 0.132102
x 80 value 0.127641
x 81 value 0.123906
x 82 value 0.124031
x 83 value 0.124914
x 84 value 0.124836
x 85 value 0.120711
x 86 value 0.121523
x 87 value 0.121477
x 88 value 0.122922
x 89 value 0.119641
x 90 value 0.122156
x 91 value 0.116320
x 92 value 0.114805
x 93 value 0.114305
x 94 value 0.115859
x 95 value 0.112539
x 96 value 0.114000
x 97 value 0.114078
x 98 value 0.110719
x 99 value 0.109031
x 100 value 0.110367
x 101 value 0.108227
x 102 value 0.113664
x 103 value 0.111594
x 104 value 0.108508
x 105 value 0.104812
x 106 value 0.107156
x 107 value 0.105570
x 108 value 0.111203
x 109 value 0.110930
x 110 value 0.106531
x 111 value 0.107594
x 112 value 0.107211
x 113 value 0.103969
x 114 value 0.104633
x 115 value 0.104266
x 116 value 0.106578
x 117 value 0.104414
x 118 value 0.105508
x 119 value 0.104492
x 120 value 0.102414
x 121 value 0.102914
x 122 value 0.102891
x 123 value 0.102562
x 124 value 0.103453
x 125 value 0.106156
x 126 value 0.099859
x 127 value 0.105484
x 128 value 0.106086
x 129 value 0.102094
x 130 value 0.101352
x 131 value 0.105164
x 132 value 0.101648
x 133 value 0.102234
x 134 value 0.104859
x 135 value 0.101523
x 136 value 0.104633
x 137 value 0.105070
x 138 value 0.106687
x 139 value 0.106031
x 140 value 0.107422
x 141 value 0.102164
x 142 value 0.104156
x 143 value 0.106398
x 144 value 0.107437
x 145 value 0.108906
x 146 value 0.105859
x 147 value 0.108492
x 148 value 0.112000
x 149 value 0.109891
x 150 value 0.105312
x 151 value 0.106039
x 152 value 0.106742
x 153 value 0.112000
x 154 value 0.108406
x 155 value 0.113156
x 156 value 0.113687
x 157 value 0.113312
x 158 value 0.111180
x 159 value 0.113617
x 160 value 0.112648
x 161 value 0.117070
x 162 value 0.112820
x 163 value 0.117062
x 164 value 0.117797
x 165 value 0.119172
x 166 value 0.120969
x 167 value 0.124336
x 168 value 0.119062
x 169 value 0.124422
x 170 value 0.120258
x 171 value 0.123742
x 172 value 0.126563
x 173 value 0.123125
x 174 value 0.126508
x 175 value 0.126758
