L 48 T 3.638000
spin_corr:
x 0 value 1000.000000
x 1 value 688.500000
x 2 value 588.333333
x 3 value 544.416667
x 4 value 518.500000
x 5 value 501.416667
x 6 value 491.000000
x 7 value 482.750000
x 8 value 478.333333
x 9 value 466.583333
x 10 value 465.583333
x 11 value 459.500000
x 12 value 453.833333
x 13 value 452.250000
x 14 value 454.166667
x 15 value 453.583333
x 16 value 449.333333
x 17 value 447.000000
x 18 value 444.083333
x 19 value 444.000000
x 20 value 443.666667
x 21 value 448.333333
x 22 value 447.000000
x 23 value 454.583333
x 24 value 459.166667
x 25 value 454.583333
x 26 value 447.000000
x 27 value 448.333333
x 28 value 443.666667
x 29 value 444.000000
x 30 value 444.083333
x 31 value 447.000000
x 32 value 449.333333
x 33 value 453.583333
x 34 value 454.166667
x 35 value 452.250000
x 36 value 453.833333
x 37 value 459.500000
x 38 value 465.583333
x 39 value 466.583333
x 40 value 478.333333
x 41 value 482.750000
x 42 value 491.000000
x 43 value 501.416667
x 44 value 518.500000
x 45 value 544.416667
x 46 value 588.333333
x 47 value 688.500000
