L 96 T 3.520000
spin_corr:
x 0 value 1000.000000
x 1 value 737.875000
x 2 value 672.500000
x 3 value 649.375000
x 4 value 636.708333
x 5 value 628.375000
x 6 value 623.500000
x 7 value 620.000000
x 8 value 617.750000
x 9 value 615.875000
x 10 value 613.416667
x 11 value 612.541667
x 12 value 613.000000
x 13 value 611.166667
x 14 value 607.875000
x 15 value 609.166667
x 16 value 609.666667
x 17 value 605.375000
x 18 value 608.750000
x 19 value 609.666667
x 20 value 609.000000
x 21 value 610.375000
x 22 value 609.000000
x 23 value 606.833333
x 24 value 606.458333
x 25 value 608.083333
x 26 value 610.208333
x 27 value 607.083333
x 28 value 606.916667
x 29 value 607.041667
x 30 value 609.541667
x 31 value 607.125000
x 32 value 608.416667
x 33 value 607.500000
x 34 value 607.666667
x 35 value 608.375000
x 36 value 606.500000
x 37 value 607.791667
x 38 value 606.500000
x 39 value 606.791667
x 40 value 608.666667
x 41 value 605.833333
x 42 value 605.500000
x 43 value 608.583333
x 44 value 606.458333
x 45 value 609.416667
x 46 value 605.083333
x 47 value 606.541667
x 48 value 607.875000
x 49 value 606.541667
x 50 value 605.083333
x 51 value 609.416667
x 52 value 606.458333
x 53 value 608.583333
x 54 value 605.500000
x 55 value 605.833333
x 56 value 608.666667
x 57 value 606.791667
x 58 value 606.500000
x 59 value 607.791667
x 60 value 606.500000
x 61 value 608.375000
x 62 value 607.666667
x 63 value 607.500000
x 64 value 608.416667
x 65 value 607.125000
x 66 value 609.541667
x 67 value 607.041667
x 68 value 606.916667
x 69 value 607.083333
x 70 value 610.208333
x 71 value 608.083333
x 72 value 606.458333
x 73 value 606.833333
x 74 value 609.000000
x 75 value 610.375000
x 76 value 609.000000
x 77 value 609.666667
x 78 value 608.750000
x 79 value 605.375000
x 80 value 609.666667
x 81 value 609.166667
x 82 value 607.875000
x 83 value 611.166667
x 84 value 613.000000
x 85 value 612.541667
x 86 value 613.416667
x 87 value 615.875000
x 88 value 617.750000
x 89 value 620.000000
x 90 value 623.500000
x 91 value 628.375000
x 92 value 636.708333
x 93 value 649.375000
x 94 value 672.500000
x 95 value 737.875000
