L 256 T 2.200000
spin_corr:
x 0 value 1000.000000
x 1 value 767.421875
x 2 value 691.531250
x 3 value 659.515625
x 4 value 641.218750
x 5 value 630.187500
x 6 value 623.875000
x 7 value 619.578125
x 8 value 616.093750
x 9 value 613.375000
x 10 value 610.781250
x 11 value 608.953125
x 12 value 607.703125
x 13 value 606.125000
x 14 value 605.921875
x 15 value 605.281250
x 16 value 604.687500
x 17 value 604.828125
x 18 value 604.140625
x 19 value 603.687500
x 20 value 603.125000
x 21 value 604.578125
x 22 value 604.812500
x 23 value 603.546875
x 24 value 602.812500
x 25 value 604.890625
x 26 value 605.625000
x 27 value 604.234375
x 28 value 604.765625
x 29 value 604.921875
x 30 value 603.578125
x 31 value 603.812500
x 32 value 604.484375
x 33 value 606.312500
x 34 value 604.859375
x 35 value 602.875000
x 36 value 603.281250
x 37 value 603.062500
x 38 value 602.734375
x 39 value 603.546875
x 40 value 601.734375
x 41 value 603.453125
x 42 value 603.671875
x 43 value 602.984375
x 44 value 601.953125
x 45 value 601.734375
x 46 value 602.453125
x 47 value 602.265625
x 48 value 601.859375
x 49 value 602.312500
x 50 value 602.656250
x 51 value 602.890625
x 52 value 602.406250
x 53 value 602.218750
x 54 value 603.359375
x 55 value 603.343750
x 56 value 604.250000
x 57 value 603.734375
x 58 value 603.843750
x 59 value 604.015625
x 60 value 603.015625
x 61 value 602.312500
x 62 value 601.390625
x 63 value 602.062500
x 64 value 601.843750
x 65 value 601.921875
x 66 value 603.640625
x 67 value 604.203125
x 68 value 606.171875
x 69 value 604.906250
x 70 value 604.859375
x 71 value 604.750000
x 72 value 604.703125
x 73 value 603.859375
x 74 value 601.562500
x 75 value 603.015625
x 76 value 602.000000
x 77 value 601.812500
x 78 value 602.015625
x 79 value 602.203125
x 80 value 603.187500
x 81 value 603.671875
x 82 value 603.156250
x 83 value 602.546875
x 84 value 602.046875
x 85 value 601.578125
x 86 value 600.500000
x 87 value 601.562500
x 88 value 601.968750
x 89 value 601.515625
x 90 value 603.296875
x 91 value 604.140625
x 92 value 604.109375
x 93 value 604.406250
x 94 value 603.343750
x 95 value 604.687500
x 96 value 603.734375
x 97 value 603.890625
x 98 value 604.375000
x 99 value 604.843750
x 100 value 604.781250
x 101 value 603.265625
x 102 value 604.921875
x 103 value 606.093750
x 104 value 606.843750
x 105 value 606.609375
x 106 value 605.953125
x 107 value 606.921875
x 108 value 605.218750
x 109 value 605.046875
x 110 value 604.406250
x 111 value 602.484375
x 112 value 601.921875
x 113 value 604.687500
x 114 value 603.500000
x 115 value 604.437500
x 116 value 602.640625
x 117 value 603.109375
x 118 value 603.468750
