L 96 T 3.720000
spin_corr:
x 0 value 1000.000000
x 1 value 617.291667
x 2 value 483.875000
x 3 value 412.291667
x 4 value 362.208333
x 5 value 312.416667
x 6 value 283.291667
x 7 value 262.125000
x 8 value 243.375000
x 9 value 222.708333
x 10 value 193.291667
x 11 value 171.166667
x 12 value 165.208333
x 13 value 150.666667
x 14 value 148.000000
x 15 value 142.208333
x 16 value 124.791667
x 17 value 117.916667
x 18 value 117.291667
x 19 value 107.500000
x 20 value 107.125000
x 21 value 112.083333
x 22 value 99.333333
x 23 value 85.666667
x 24 value 72.875000
x 25 value 89.166667
x 26 value 83.125000
x 27 value 77.416667
x 28 value 76.291667
x 29 value 66.458333
x 30 value 59.833333
x 31 value 44.625000
x 32 value 49.250000
x 33 value 47.291667
x 34 value 59.208333
x 35 value 53.458333
x 36 value 47.833333
x 37 value 54.500000
x 38 value 58.958333
x 39 value 64.833333
x 40 value 64.958333
x 41 value 73.291667
x 42 value 65.500000
x 43 value 64.583333
x 44 value 68.625000
x 45 value 50.916667
x 46 value 52.208333
x 47 value 50.916667
x 48 value 58.583333
x 49 value 50.916667
x 50 value 52.208333
x 51 value 50.916667
x 52 value 68.625000
x 53 value 64.583333
x 54 value 65.500000
x 55 value 73.291667
x 56 value 64.958333
x 57 value 64.833333
x 58 value 58.958333
x 59 value 54.500000
x 60 value 47.833333
x 61 value 53.458333
x 62 value 59.208333
x 63 value 47.291667
x 64 value 49.250000
x 65 value 44.625000
x 66 value 59.833333
x 67 value 66.458333
x 68 value 76.291667
x 69 value 77.416667
x 70 value 83.125000
x 71 value 89.166667
x 72 value 72.875000
x 73 value 85.666667
x 74 value 99.333333
x 75 value 112.083333
x 76 value 107.125000
x 77 value 107.500000
x 78 value 117.291667
x 79 value 117.916667
x 80 value 124.791667
x 81 value 142.208333
x 82 value 148.000000
x 83 value 150.666667
x 84 value 165.208333
x 85 value 171.166667
x 86 value 193.291667
x 87 value 222.708333
x 88 value 243.375000
x 89 value 262.125000
x 90 value 283.291667
x 91 value 312.416667
x 92 value 362.208333
x 93 value 412.291667
x 94 value 483.875000
x 95 value 617.291667
