L 64 T 3.440000
spin_corr:
x 0 value 1000.000000
x 1 value 772.250000
x 2 value 719.500000
x 3 value 701.562500
x 4 value 696.625000
x 5 value 691.812500
x 6 value 687.625000
x 7 value 685.500000
x 8 value 684.437500
x 9 value 685.562500
x 10 value 682.000000
x 11 value 679.875000
x 12 value 680.750000
x 13 value 679.937500
x 14 value 677.062500
x 15 value 681.125000
x 16 value 679.125000
x 17 value 680.125000
x 18 value 680.375000
x 19 value 681.812500
x 20 value 680.125000
x 21 value 682.875000
x 22 value 684.062500
x 23 value 683.000000
x 24 value 680.750000
x 25 value 681.312500
x 26 value 679.937500
x 27 value 681.312500
x 28 value 681.687500
x 29 value 681.250000
x 30 value 680.062500
x 31 value 683.312500
x 32 value 681.937500
x 33 value 683.312500
x 34 value 680.062500
x 35 value 681.250000
x 36 value 681.687500
x 37 value 681.312500
x 38 value 679.937500
x 39 value 681.312500
x 40 value 680.750000
x 41 value 683.000000
x 42 value 684.062500
x 43 value 682.875000
x 44 value 680.125000
x 45 value 681.812500
x 46 value 680.375000
x 47 value 680.125000
x 48 value 679.125000
x 49 value 681.125000
x 50 value 677.062500
x 51 value 679.937500
x 52 value 680.750000
x 53 value 679.875000
x 54 value 682.000000
x 55 value 685.562500
x 56 value 684.437500
x 57 value 685.500000
x 58 value 687.625000
x 59 value 691.812500
x 60 value 696.625000
x 61 value 701.562500
x 62 value 719.500000
x 63 value 772.250000
