L 128 T 2.272000
spin_corr:
x 0 value 1000.000000
x 1 value 709.562500
x 2 value 596.875000
x 3 value 534.468750
x 4 value 494.000000
x 5 value 467.687500
x 6 value 447.250000
x 7 value 428.406250
x 8 value 420.750000
x 9 value 411.593750
x 10 value 399.343750
x 11 value 395.031250
x 12 value 385.625000
x 13 value 377.281250
x 14 value 374.312500
x 15 value 372.593750
x 16 value 369.656250
x 17 value 360.281250
x 18 value 349.562500
x 19 value 346.250000
x 20 value 340.125000
x 21 value 334.531250
x 22 value 328.500000
x 23 value 330.593750
x 24 value 325.281250
x 25 value 321.812500
x 26 value 321.718750
x 27 value 321.968750
x 28 value 322.000000
x 29 value 322.031250
x 30 value 319.562500
x 31 value 317.031250
x 32 value 309.812500
x 33 value 305.312500
x 34 value 304.812500
x 35 value 307.375000
x 36 value 304.187500
x 37 value 305.218750
x 38 value 304.187500
x 39 value 305.968750
x 40 value 305.031250
x 41 value 305.031250
x 42 value 302.031250
x 43 value 300.406250
x 44 value 299.562500
x 45 value 302.500000
x 46 value 305.781250
x 47 value 306.750000
x 48 value 298.406250
x 49 value 299.000000
x 50 value 299.468750
x 51 value 302.000000
x 52 value 301.062500
x 53 value 300.000000
x 54 value 298.468750
x 55 value 294.437500
x 56 value 292.062500
x 57 value 290.718750
x 58 value 291.187500
x 59 value 291.437500
x 60 value 297.062500
x 61 value 294.250000
x 62 value 294.531250
x 63 value 298.468750
x 64 value 299.687500
x 65 value 298.468750
x 66 value 294.531250
x 67 value 294.250000
x 68 value 297.062500
x 69 value 291.437500
x 70 value 291.187500
x 71 value 290.718750
x 72 value 292.062500
x 73 value 294.437500
x 74 value 298.468750
x 75 value 300.000000
x 76 value 301.062500
x 77 value 302.000000
x 78 value 299.468750
x 79 value 299.000000
x 80 value 298.406250
x 81 value 306.750000
x 82 value 305.781250
x 83 value 302.500000
x 84 value 299.562500
x 85 value 300.406250
x 86 value 302.031250
x 87 value 305.031250
x 88 value 305.031250
x 89 value 305.968750
x 90 value 304.187500
x 91 value 305.218750
x 92 value 304.187500
x 93 value 307.375000
x 94 value 304.812500
x 95 value 305.312500
x 96 value 309.812500
x 97 value 317.031250
x 98 value 319.562500
x 99 value 322.031250
x 100 value 322.000000
x 101 value 321.968750
x 102 value 321.718750
x 103 value 321.812500
x 104 value 325.281250
x 105 value 330.593750
x 106 value 328.500000
x 107 value 334.531250
x 108 value 340.125000
x 109 value 346.250000
x 110 value 349.562500
x 111 value 360.281250
x 112 value 369.656250
x 113 value 372.593750
x 114 value 374.312500
x 115 value 377.281250
x 116 value 385.625000
x 117 value 395.031250
x 118 value 399.343750
x 119 value 411.593750
x 120 value 420.750000
x 121 value 428.406250
x 122 value 447.250000
x 123 value 467.687500
x 124 value 494.000000
x 125 value 534.468750
x 126 value 596.875000
x 127 value 709.562500
