L 016 T 2.260 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.476063 c 1.274926 m 0.730414 m2 0.533505 m4 0.284627
block 1 e -1.485969 c 1.267322 m 0.744094 m2 0.553676 m4 0.306557
block 2 e -1.453938 c 1.441544 m 0.713469 m2 0.509038 m4 0.259119
block 3 e -1.461937 c 1.631881 m 0.722891 m2 0.522571 m4 0.273080
block 4 e -1.462516 c 1.489591 m 0.718078 m2 0.515636 m4 0.265881
block 5 e -1.462094 c 1.537788 m 0.713313 m2 0.508815 m4 0.258892
block 6 e -1.453297 c 1.293451 m 0.716930 m2 0.513988 m4 0.264184
block 7 e -1.477875 c 1.312076 m 0.736688 m2 0.542708 m4 0.294532
block 8 e -1.461656 c 1.620133 m 0.719336 m2 0.517444 m4 0.267748
block 9 e -1.486469 c 1.374178 m 0.747070 m2 0.558114 m4 0.311491
