L 032 T 2.240 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.492504 c 1.491283 m 0.728598 m2 0.548099 m4 0.324692
block 1 e -1.487789 c 1.490778 m 0.722281 m2 0.539672 m4 0.317169
block 2 e -1.493277 c 1.468036 m 0.731059 m2 0.551075 m4 0.327087
block 3 e -1.472445 c 1.602650 m 0.708551 m2 0.523551 m4 0.302214
block 4 e -1.485934 c 1.585936 m 0.721021 m2 0.538891 m4 0.316233
block 5 e -1.492902 c 1.538907 m 0.727154 m2 0.546691 m4 0.324251
block 6 e -1.494078 c 1.699330 m 0.731391 m2 0.552830 m4 0.331760
block 7 e -1.488566 c 1.494283 m 0.727342 m2 0.547551 m4 0.325926
block 8 e -1.488727 c 1.657238 m 0.720311 m2 0.538523 m4 0.317994
block 9 e -1.484555 c 1.788654 m 0.710549 m2 0.528384 m4 0.311220
