L 016 T 2.210 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.513156 c 1.494787 m 0.764172 m2 0.609996 m4 0.413381
block 1 e -1.535125 c 1.255893 m 0.782797 m2 0.634763 m4 0.439201
block 2 e -1.545641 c 1.307236 m 0.784625 m2 0.640344 m4 0.449835
block 3 e -1.548203 c 1.276102 m 0.793859 m2 0.653053 m4 0.462107
block 4 e -1.536016 c 1.314188 m 0.782555 m2 0.636166 m4 0.442218
block 5 e -1.545937 c 1.166981 m 0.791898 m2 0.646360 m4 0.450914
block 6 e -1.557937 c 1.144693 m 0.801867 m2 0.659788 m4 0.466289
block 7 e -1.531578 c 1.309639 m 0.784250 m2 0.636751 m4 0.440966
block 8 e -1.543250 c 1.278308 m 0.792289 m2 0.647359 m4 0.452005
block 9 e -1.540266 c 1.283912 m 0.788180 m2 0.644276 m4 0.451982
