L 016 T 2.250 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.495766 c 1.237328 m 0.749773 m2 0.562160 m4 0.316024
block 1 e -1.474250 c 1.419631 m 0.726375 m2 0.527621 m4 0.278384
block 2 e -1.469250 c 1.693666 m 0.722203 m2 0.521577 m4 0.272043
block 3 e -1.488875 c 1.407445 m 0.751109 m2 0.564165 m4 0.318282
block 4 e -1.482328 c 1.330813 m 0.736844 m2 0.542939 m4 0.294782
block 5 e -1.473547 c 1.478083 m 0.729258 m2 0.531817 m4 0.282829
block 6 e -1.464453 c 1.570634 m 0.729375 m2 0.531988 m4 0.283011
block 7 e -1.495187 c 1.246384 m 0.756641 m2 0.572505 m4 0.327762
block 8 e -1.482609 c 1.445311 m 0.735023 m2 0.540259 m4 0.291880
block 9 e -1.499531 c 1.380853 m 0.754930 m2 0.569919 m4 0.324807
