L 064 T 2.264 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.431593 c 2.720604 m 0.626175 m2 0.412239 m4 0.191801
block 1 e -1.435291 c 2.171671 m 0.627679 m2 0.415052 m4 0.194940
block 2 e -1.443065 c 1.737075 m 0.644181 m2 0.433207 m4 0.207816
block 3 e -1.434288 c 2.155237 m 0.630994 m2 0.419441 m4 0.198189
block 4 e -1.426461 c 2.141523 m 0.607171 m2 0.394223 m4 0.180002
block 5 e -1.439802 c 2.104587 m 0.638844 m2 0.425691 m4 0.201103
block 6 e -1.438728 c 2.077644 m 0.637419 m2 0.425725 m4 0.203021
block 7 e -1.440221 c 2.106557 m 0.632375 m2 0.421769 m4 0.200113
block 8 e -1.436247 c 2.254949 m 0.630107 m2 0.416969 m4 0.195666
block 9 e -1.433955 c 1.878186 m 0.620706 m2 0.406318 m4 0.186036
