L 128 T 2.276 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.406784 c 2.336011 m 0.495517 m2 0.275905 m4 0.095961
block 1 e -1.405545 c 2.541267 m 0.505167 m2 0.280619 m4 0.096983
block 2 e -1.408698 c 2.642531 m 0.514455 m2 0.290052 m4 0.102907
block 3 e -1.401082 c 2.759795 m 0.460554 m2 0.247926 m4 0.084482
block 4 e -1.398989 c 2.247905 m 0.469278 m2 0.251417 m4 0.082728
block 5 e -1.405947 c 2.317123 m 0.507551 m2 0.278886 m4 0.094529
block 6 e -1.401765 c 2.297540 m 0.494461 m2 0.271971 m4 0.093493
block 7 e -1.398759 c 2.285588 m 0.481310 m2 0.257451 m4 0.084155
block 8 e -1.403916 c 3.291084 m 0.497914 m2 0.275703 m4 0.095137
block 9 e -1.401412 c 1.893279 m 0.489329 m2 0.266497 m4 0.089224
block 0 e -1.399501 c 1.869728 m 0.482193 m2 0.261778 m4 0.087056
block 1 e -1.401546 c 2.371817 m 0.490232 m2 0.266531 m4 0.089098
block 2 e -1.403935 c 2.177104 m 0.488228 m2 0.264153 m4 0.087323
block 3 e -1.401867 c 2.068126 m 0.490270 m2 0.267148 m4 0.090222
block 4 e -1.400732 c 2.959909 m 0.493634 m2 0.272391 m4 0.093904
block 5 e -1.395670 c 2.384036 m 0.459993 m2 0.243072 m4 0.078896
block 6 e -1.403140 c 2.499742 m 0.500028 m2 0.275856 m4 0.094350
block 7 e -1.393543 c 2.358379 m 0.451152 m2 0.232770 m4 0.072744
block 8 e -1.403486 c 3.792222 m 0.491133 m2 0.270461 m4 0.093331
block 9 e -1.399441 c 2.729094 m 0.499566 m2 0.271936 m4 0.090833
