L 032 T 2.250 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.471824 c 1.739764 m 0.702932 m2 0.494113 m4 0.244148
block 1 e -1.459195 c 1.600917 m 0.690166 m2 0.476329 m4 0.226889
block 2 e -1.485145 c 1.489809 m 0.724887 m2 0.525461 m4 0.276109
block 3 e -1.481934 c 1.472464 m 0.713941 m2 0.509712 m4 0.259807
block 4 e -1.464367 c 1.650886 m 0.692955 m2 0.480187 m4 0.230579
block 5 e -1.462969 c 1.867307 m 0.682428 m2 0.465708 m4 0.216884
block 6 e -1.473520 c 2.109704 m 0.710365 m2 0.504619 m4 0.254640
block 7 e -1.456645 c 1.792930 m 0.681301 m2 0.464171 m4 0.215454
block 8 e -1.467402 c 1.811080 m 0.702885 m2 0.494047 m4 0.244082
block 9 e -1.461234 c 1.729754 m 0.699797 m2 0.489716 m4 0.239821
