L 064 T 2.260 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.445396 c 2.384126 m 0.642600 m2 0.435293 m4 0.213254
block 1 e -1.438252 c 1.972359 m 0.636100 m2 0.422928 m4 0.198910
block 2 e -1.443599 c 2.128795 m 0.638101 m2 0.428811 m4 0.206278
block 3 e -1.439733 c 2.314977 m 0.637773 m2 0.426369 m4 0.203607
block 4 e -1.447160 c 1.843182 m 0.646528 m2 0.437925 m4 0.213766
block 5 e -1.442862 c 1.914319 m 0.633743 m2 0.420888 m4 0.198447
block 6 e -1.439932 c 2.013040 m 0.634124 m2 0.423829 m4 0.201991
block 7 e -1.446804 c 2.014311 m 0.642526 m2 0.433164 m4 0.209194
block 8 e -1.449127 c 2.006456 m 0.654061 m2 0.446164 m4 0.218909
block 9 e -1.448006 c 1.659841 m 0.654982 m2 0.442840 m4 0.212787
