L 064 T 2.256 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.442466 c 2.116467 m 0.640550 m2 0.410305 m4 0.168350
block 1 e -1.455214 c 2.002686 m 0.668063 m2 0.446308 m4 0.199191
block 2 e -1.452106 c 2.060082 m 0.655346 m2 0.429478 m4 0.184451
block 3 e -1.454635 c 1.738295 m 0.665596 m2 0.443018 m4 0.196265
block 4 e -1.452415 c 1.753730 m 0.645872 m2 0.417151 m4 0.174015
block 5 e -1.447467 c 2.211289 m 0.648632 m2 0.420723 m4 0.177008
block 6 e -1.453696 c 1.709490 m 0.665503 m2 0.442894 m4 0.196155
block 7 e -1.455777 c 1.823061 m 0.669112 m2 0.447711 m4 0.200445
block 8 e -1.456904 c 1.840259 m 0.670361 m2 0.449384 m4 0.201946
block 9 e -1.452209 c 2.166062 m 0.655669 m2 0.429902 m4 0.184816
