L 016 T 2.240 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.493391 c 1.443570 m 0.749102 m2 0.561153 m4 0.314893
block 1 e -1.507297 c 1.396471 m 0.760023 m2 0.577636 m4 0.333663
block 2 e -1.480922 c 1.448105 m 0.734594 m2 0.539628 m4 0.291198
block 3 e -1.498469 c 1.218217 m 0.759391 m2 0.576674 m4 0.332553
block 4 e -1.488500 c 1.381366 m 0.741281 m2 0.549498 m4 0.301948
block 5 e -1.479172 c 1.572865 m 0.733000 m2 0.537289 m4 0.288679
block 6 e -1.493359 c 1.596161 m 0.747242 m2 0.558371 m4 0.311778
block 7 e -1.501812 c 1.241736 m 0.757086 m2 0.573179 m4 0.328534
block 8 e -1.507406 c 1.446550 m 0.755570 m2 0.570886 m4 0.325911
block 9 e -1.515656 c 1.301544 m 0.758078 m2 0.574682 m4 0.330260
