L 064 T 2.285 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.388487 c 1.814443 m 0.515451 m2 0.265690 m4 0.070591
block 1 e -1.387230 c 2.105597 m 0.533158 m2 0.284258 m4 0.080802
block 2 e -1.387024 c 2.131089 m 0.500243 m2 0.250243 m4 0.062621
block 3 e -1.394167 c 2.016186 m 0.526399 m2 0.277096 m4 0.076782
block 4 e -1.384265 c 2.188179 m 0.500019 m2 0.250019 m4 0.062509
block 5 e -1.376616 c 2.391677 m 0.495568 m2 0.245588 m4 0.060313
block 6 e -1.394151 c 2.126945 m 0.533146 m2 0.284245 m4 0.080795
block 7 e -1.380322 c 2.048202 m 0.496498 m2 0.246510 m4 0.060767
block 8 e -1.401027 c 1.994975 m 0.553177 m2 0.306005 m4 0.093639
block 9 e -1.387229 c 2.075339 m 0.506876 m2 0.256923 m4 0.066010
