L 128 T 2.264 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.433284 c 3.253689 m 0.583115 m2 0.340023 m4 0.115616
block 1 e -1.429006 c 2.246523 m 0.582421 m2 0.339215 m4 0.115066
block 2 e -1.431368 c 2.335911 m 0.589120 m2 0.347063 m4 0.120452
block 3 e -1.431173 c 2.271867 m 0.586689 m2 0.344204 m4 0.118477
block 4 e -1.427992 c 2.171822 m 0.579711 m2 0.336065 m4 0.112940
block 5 e -1.429682 c 2.563186 m 0.581015 m2 0.337579 m4 0.113959
block 6 e -1.430438 c 2.208859 m 0.594379 m2 0.353286 m4 0.124811
block 7 e -1.431233 c 2.038183 m 0.585061 m2 0.342296 m4 0.117167
block 8 e -1.434339 c 2.136958 m 0.605598 m2 0.366748 m4 0.134504
block 9 e -1.432179 c 1.877310 m 0.601477 m2 0.361775 m4 0.130881
