L 064 T 2.275 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.420260 c 2.064315 m 0.583455 m2 0.369919 m4 0.163725
block 1 e -1.415388 c 2.082813 m 0.574846 m2 0.358206 m4 0.154031
block 2 e -1.414701 c 2.039992 m 0.586084 m2 0.371623 m4 0.164159
block 3 e -1.406910 c 2.559002 m 0.566020 m2 0.353504 m4 0.153766
block 4 e -1.411545 c 2.302765 m 0.567965 m2 0.353519 m4 0.153090
block 5 e -1.412105 c 2.027566 m 0.577665 m2 0.362337 m4 0.157285
block 6 e -1.412937 c 2.244935 m 0.570586 m2 0.353935 m4 0.152358
block 7 e -1.404211 c 2.510402 m 0.544018 m2 0.333247 m4 0.141753
block 8 e -1.409095 c 1.976986 m 0.565483 m2 0.349578 m4 0.148868
block 9 e -1.401397 c 2.439006 m 0.544498 m2 0.329081 m4 0.135703
