L 032 T 2.255 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.431770 c 2.256789 m 0.663777 m2 0.469055 m4 0.254484
block 1 e -1.456445 c 1.933501 m 0.685443 m2 0.494459 m4 0.276466
block 2 e -1.467504 c 1.756079 m 0.696221 m2 0.510925 m4 0.292773
block 3 e -1.459176 c 1.658428 m 0.682070 m2 0.493669 m4 0.276555
block 4 e -1.467113 c 1.807929 m 0.701297 m2 0.513813 m4 0.293776
block 5 e -1.455348 c 1.999595 m 0.683660 m2 0.495763 m4 0.280430
block 6 e -1.451141 c 1.692193 m 0.677850 m2 0.486296 m4 0.268299
block 7 e -1.469215 c 1.985907 m 0.696506 m2 0.508872 m4 0.291251
block 8 e -1.470883 c 1.637996 m 0.704240 m2 0.518368 m4 0.297848
block 9 e -1.467461 c 1.701200 m 0.689781 m2 0.504288 m4 0.287291
