L 032 T 2.270 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.435133 c 1.970337 m 0.646773 m2 0.418316 m4 0.174988
block 1 e -1.427699 c 1.812535 m 0.648604 m2 0.420687 m4 0.176977
block 2 e -1.429574 c 2.017899 m 0.650629 m2 0.423318 m4 0.179198
block 3 e -1.429117 c 1.996681 m 0.649035 m2 0.421247 m4 0.177449
block 4 e -1.439973 c 1.424617 m 0.654387 m2 0.428222 m4 0.183374
block 5 e -1.423500 c 1.991115 m 0.632961 m2 0.400640 m4 0.160512
block 6 e -1.426230 c 1.967647 m 0.640596 m2 0.410363 m4 0.168398
block 7 e -1.429281 c 1.877909 m 0.640439 m2 0.410163 m4 0.168233
block 8 e -1.434461 c 1.756828 m 0.658877 m2 0.434119 m4 0.188459
block 9 e -1.425441 c 1.571613 m 0.649514 m2 0.421868 m4 0.177973
