L 064 T 2.258 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.453151 c 2.096450 m 0.664805 m2 0.441966 m4 0.195334
block 1 e -1.448142 c 1.864133 m 0.644514 m2 0.415399 m4 0.172556
block 2 e -1.444466 c 1.871315 m 0.642323 m2 0.412579 m4 0.170222
block 3 e -1.444742 c 2.465784 m 0.635607 m2 0.403996 m4 0.163213
block 4 e -1.455345 c 1.600364 m 0.666915 m2 0.444776 m4 0.197825
block 5 e -1.440595 c 2.495268 m 0.628250 m2 0.394698 m4 0.155787
block 6 e -1.446836 c 2.015522 m 0.635465 m2 0.403816 m4 0.163067
block 7 e -1.454902 c 1.880325 m 0.670303 m2 0.449306 m4 0.201876
block 8 e -1.443738 c 2.013716 m 0.628070 m2 0.394472 m4 0.155608
block 9 e -1.448289 c 1.913544 m 0.647845 m2 0.419703 m4 0.176150
