L 032 T 2.285 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.407637 c 1.730188 m 0.608709 m2 0.370527 m4 0.137290
block 1 e -1.402852 c 1.747073 m 0.610326 m2 0.372498 m4 0.138755
block 2 e -1.406746 c 1.937359 m 0.625943 m2 0.391805 m4 0.153511
block 3 e -1.411586 c 1.988793 m 0.622639 m2 0.387679 m4 0.150295
block 4 e -1.403020 c 1.743003 m 0.611809 m2 0.374310 m4 0.140108
block 5 e -1.398715 c 2.132025 m 0.597943 m2 0.357536 m4 0.127832
block 6 e -1.413414 c 1.703990 m 0.622619 m2 0.387655 m4 0.150276
block 7 e -1.397102 c 1.862012 m 0.609152 m2 0.371067 m4 0.137690
block 8 e -1.397227 c 2.174196 m 0.607592 m2 0.369168 m4 0.136285
block 9 e -1.407785 c 1.483053 m 0.609568 m2 0.371574 m4 0.138067
