L 128 T 2.268 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.419862 c 2.404602 m 0.556699 m2 0.309914 m4 0.096047
block 1 e -1.423292 c 2.583959 m 0.566885 m2 0.321359 m4 0.103272
block 2 e -1.425228 c 2.638680 m 0.567409 m2 0.321953 m4 0.103654
block 3 e -1.423895 c 2.160853 m 0.560912 m2 0.314622 m4 0.098987
block 4 e -1.416522 c 2.704280 m 0.545890 m2 0.297996 m4 0.088801
block 5 e -1.427797 c 2.254297 m 0.571324 m2 0.326411 m4 0.106544
block 6 e -1.421799 c 2.009232 m 0.548545 m2 0.300901 m4 0.090542
block 7 e -1.421149 c 2.415844 m 0.559930 m2 0.313522 m4 0.098296
block 8 e -1.419906 c 2.385818 m 0.551849 m2 0.304537 m4 0.092743
block 9 e -1.420284 c 2.709638 m 0.548047 m2 0.300356 m4 0.090213
