L 016 T 2.290 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.423250 c 1.520831 m 0.678836 m2 0.506497 m4 0.312578
block 1 e -1.411500 c 1.563484 m 0.680672 m2 0.504161 m4 0.305438
block 2 e -1.442672 c 1.433557 m 0.701898 m2 0.531385 m4 0.334008
block 3 e -1.420781 c 1.253183 m 0.684469 m2 0.507471 m4 0.306695
block 4 e -1.436656 c 1.448641 m 0.694852 m2 0.520145 m4 0.320420
block 5 e -1.409766 c 1.477951 m 0.682594 m2 0.502612 m4 0.301758
block 6 e -1.420406 c 1.559791 m 0.689000 m2 0.512976 m4 0.312641
block 7 e -1.435250 c 1.391364 m 0.705047 m2 0.531077 m4 0.327947
block 8 e -1.417406 c 1.529793 m 0.680328 m2 0.506302 m4 0.309345
block 9 e -1.415656 c 1.620888 m 0.678023 m2 0.503002 m4 0.306046
