L 032 T 2.260 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.453387 c 1.752305 m 0.680500 m2 0.491076 m4 0.274435
block 1 e -1.451723 c 1.953541 m 0.675352 m2 0.489234 m4 0.275365
block 2 e -1.453293 c 1.831698 m 0.681541 m2 0.489466 m4 0.271150
block 3 e -1.438406 c 1.984751 m 0.664348 m2 0.471161 m4 0.257009
block 4 e -1.445809 c 1.777703 m 0.664209 m2 0.470962 m4 0.256912
block 5 e -1.450359 c 2.116187 m 0.682139 m2 0.493156 m4 0.276351
block 6 e -1.453855 c 1.733899 m 0.672725 m2 0.485470 m4 0.270839
block 7 e -1.448316 c 1.788657 m 0.671547 m2 0.482893 m4 0.268294
block 8 e -1.453215 c 1.826446 m 0.687688 m2 0.496743 m4 0.276125
block 9 e -1.454238 c 1.685386 m 0.677482 m2 0.486110 m4 0.270251
