L 256 T 2.270 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.414801 c 2.402748 m 0.505354 m2 0.255382 m4 0.065220
block 1 e -1.413539 c 3.419690 m 0.488125 m2 0.238266 m4 0.056771
block 2 e -1.412632 c 2.578417 m 0.486699 m2 0.236876 m4 0.056110
block 3 e -1.414703 c 2.646016 m 0.486843 m2 0.237016 m4 0.056177
block 4 e -1.415449 c 2.774695 m 0.492390 m2 0.242448 m4 0.058781
block 5 e -1.417374 c 2.503475 m 0.515500 m2 0.265740 m4 0.070618
block 6 e -1.415260 c 2.867317 m 0.493150 m2 0.243197 m4 0.059145
block 7 e -1.414580 c 2.754030 m 0.497248 m2 0.247255 m4 0.061135
block 8 e -1.414987 c 2.949841 m 0.491747 m2 0.241815 m4 0.058474
block 9 e -1.416060 c 2.873758 m 0.493557 m2 0.243598 m4 0.059340
