L 032 T 2.280 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.420688 c 1.817806 m 0.637982 m2 0.407022 m4 0.165667
block 1 e -1.402539 c 1.877397 m 0.612971 m2 0.375733 m4 0.141175
block 2 e -1.422148 c 1.571845 m 0.633266 m2 0.401025 m4 0.160821
block 3 e -1.409340 c 1.884274 m 0.626102 m2 0.392003 m4 0.153666
block 4 e -1.419797 c 1.772357 m 0.628568 m2 0.395098 m4 0.156103
block 5 e -1.419156 c 1.939568 m 0.638502 m2 0.407685 m4 0.166207
block 6 e -1.408242 c 2.143580 m 0.623203 m2 0.388382 m4 0.150841
block 7 e -1.406496 c 2.057060 m 0.612922 m2 0.375673 m4 0.141130
block 8 e -1.424289 c 2.083009 m 0.642650 m2 0.413000 m4 0.170569
block 9 e -1.419199 c 1.862453 m 0.640160 m2 0.409805 m4 0.167940
