L 256 T 2.269 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.418937 c 2.662572 m 0.519920 m2 0.285723 m4 0.092780
block 1 e -1.416546 c 2.260573 m 0.514957 m2 0.278530 m4 0.087275
block 2 e -1.415221 c 2.492787 m 0.484596 m2 0.254085 m4 0.076849
block 3 e -1.418196 c 2.370966 m 0.500777 m2 0.272604 m4 0.087658
block 4 e -1.420368 c 3.127954 m 0.517929 m2 0.285552 m4 0.093854
block 5 e -1.413594 c 3.139544 m 0.493930 m2 0.263844 m4 0.083253
block 6 e -1.417025 c 2.938570 m 0.494752 m2 0.268388 m4 0.087142
block 7 e -1.418899 c 2.342415 m 0.515762 m2 0.283041 m4 0.092169
block 8 e -1.416902 c 3.322942 m 0.513983 m2 0.280857 m4 0.091226
block 9 e -1.416524 c 2.638119 m 0.526093 m2 0.289177 m4 0.093615
