L 016 T 2.270 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.475469 c 1.397188 m 0.728313 m2 0.564355 m4 0.365905
block 1 e -1.470359 c 1.422553 m 0.730516 m2 0.565509 m4 0.365056
block 2 e -1.451500 c 1.505841 m 0.713555 m2 0.542174 m4 0.341664
block 3 e -1.474328 c 1.499878 m 0.718148 m2 0.555934 m4 0.361989
block 4 e -1.442500 c 1.687443 m 0.695727 m2 0.528489 m4 0.335542
block 5 e -1.447922 c 1.350673 m 0.711320 m2 0.539936 m4 0.337171
block 6 e -1.461141 c 1.532533 m 0.717406 m2 0.554550 m4 0.359046
block 7 e -1.437016 c 1.512765 m 0.702398 m2 0.529542 m4 0.329651
block 8 e -1.442187 c 1.382789 m 0.703195 m2 0.531482 m4 0.331929
block 9 e -1.451906 c 1.529356 m 0.707586 m2 0.541742 m4 0.346675
