L 128 T 2.274 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.397006 c 2.967203 m 0.466368 m2 0.250508 m4 0.082736
block 1 e -1.406267 c 2.229264 m 0.510981 m2 0.284086 m4 0.097627
block 2 e -1.415602 c 2.769118 m 0.542675 m2 0.317838 m4 0.118867
block 3 e -1.411449 c 2.656396 m 0.519139 m2 0.294932 m4 0.106692
block 4 e -1.414058 c 2.468894 m 0.533167 m2 0.309029 m4 0.114366
block 5 e -1.402987 c 3.008090 m 0.485465 m2 0.263838 m4 0.088923
block 6 e -1.410124 c 2.402181 m 0.508146 m2 0.285259 m4 0.101171
block 7 e -1.408081 c 2.405253 m 0.512331 m2 0.287790 m4 0.101209
block 8 e -1.404485 c 2.416584 m 0.497604 m2 0.273549 m4 0.093538
block 9 e -1.403067 c 2.966989 m 0.504428 m2 0.281618 m4 0.098547
