L 032 T 2.275 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.423437 c 1.776555 m 0.654160 m2 0.456403 m4 0.240422
block 1 e -1.408914 c 2.529969 m 0.628496 m2 0.430482 m4 0.223562
block 2 e -1.434715 c 1.894030 m 0.660254 m2 0.467715 m4 0.256431
block 3 e -1.435840 c 1.779659 m 0.660695 m2 0.465262 m4 0.249795
block 4 e -1.431355 c 1.973351 m 0.649932 m2 0.453543 m4 0.242156
block 5 e -1.423637 c 1.968734 m 0.633396 m2 0.436767 m4 0.230513
block 6 e -1.419848 c 1.732423 m 0.631912 m2 0.432329 m4 0.222604
block 7 e -1.428082 c 1.548038 m 0.654217 m2 0.453396 m4 0.236703
block 8 e -1.416406 c 1.905978 m 0.627324 m2 0.429461 m4 0.222129
block 9 e -1.411254 c 1.810343 m 0.628115 m2 0.430109 m4 0.221672
