L 016 T 2.231 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.508719 c 1.518508 m 0.762898 m2 0.610929 m4 0.416493
block 1 e -1.506734 c 1.450106 m 0.758984 m2 0.606198 m4 0.411214
block 2 e -1.499516 c 1.391551 m 0.756352 m2 0.598137 m4 0.399288
block 3 e -1.488000 c 1.444719 m 0.747008 m2 0.585940 m4 0.384962
block 4 e -1.507453 c 1.280240 m 0.758086 m2 0.602539 m4 0.406021
block 5 e -1.507250 c 1.369711 m 0.760273 m2 0.606778 m4 0.410629
block 6 e -1.485781 c 1.624278 m 0.736812 m2 0.576933 m4 0.381102
block 7 e -1.511016 c 1.451848 m 0.766234 m2 0.612649 m4 0.415129
block 8 e -1.513953 c 1.370676 m 0.765672 m2 0.612590 m4 0.415358
block 9 e -1.504422 c 1.543098 m 0.753734 m2 0.600337 m4 0.407473
