L 256 T 2.272 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.407136 c 2.079771 m 0.443200 m2 0.196426 m4 0.038583
block 1 e -1.407337 c 3.085962 m 0.452464 m2 0.204724 m4 0.041912
block 2 e -1.410479 c 2.622674 m 0.468738 m2 0.219715 m4 0.048275
block 3 e -1.411166 c 2.113832 m 0.470617 m2 0.221480 m4 0.049054
block 4 e -1.407556 c 3.968981 m 0.449768 m2 0.202291 m4 0.040922
block 5 e -1.406354 c 3.821414 m 0.447980 m2 0.200686 m4 0.040275
block 6 e -1.407669 c 3.716977 m 0.451424 m2 0.203783 m4 0.041528
block 7 e -1.405872 c 2.764542 m 0.422087 m2 0.178157 m4 0.031740
block 8 e -1.413847 c 2.535000 m 0.496750 m2 0.246761 m4 0.060891
block 9 e -1.407187 c 2.481730 m 0.454861 m2 0.206898 m4 0.042807
