L 064 T 2.270 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.422418 c 2.277861 m 0.596655 m2 0.383638 m4 0.173529
block 1 e -1.428577 c 2.012823 m 0.609068 m2 0.393987 m4 0.178949
block 2 e -1.414123 c 2.224101 m 0.571307 m2 0.360754 m4 0.158819
block 3 e -1.421818 c 2.077045 m 0.605554 m2 0.388117 m4 0.173341
block 4 e -1.431039 c 2.448614 m 0.617338 m2 0.406142 m4 0.190172
block 5 e -1.435377 c 2.133136 m 0.630322 m2 0.416618 m4 0.195155
block 6 e -1.427687 c 2.475378 m 0.601643 m2 0.391660 m4 0.180887
block 7 e -1.411058 c 2.346346 m 0.574062 m2 0.358593 m4 0.155085
block 8 e -1.424001 c 2.515270 m 0.592835 m2 0.381578 m4 0.173987
block 9 e -1.417836 c 2.280700 m 0.586268 m2 0.371579 m4 0.164833
