L 064 T 2.280 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.390998 c 2.433548 m 0.526210 m2 0.276897 m4 0.076672
block 1 e -1.401526 c 2.353570 m 0.547788 m2 0.300071 m4 0.090043
block 2 e -1.406863 c 1.989772 m 0.572635 m2 0.327911 m4 0.107525
block 3 e -1.401432 c 1.725836 m 0.550741 m2 0.303315 m4 0.092000
block 4 e -1.401548 c 2.136544 m 0.541019 m2 0.292701 m4 0.085674
block 5 e -1.393997 c 2.192244 m 0.527447 m2 0.278200 m4 0.077395
block 6 e -1.400287 c 1.745707 m 0.542435 m2 0.294235 m4 0.086574
block 7 e -1.395921 c 2.123370 m 0.544437 m2 0.296412 m4 0.087860
block 8 e -1.397696 c 1.924290 m 0.535633 m2 0.286903 m4 0.082313
block 9 e -1.402782 c 2.365505 m 0.544170 m2 0.296121 m4 0.087688
