L 032 T 2.295 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.391676 c 1.735173 m 0.606246 m2 0.367534 m4 0.135081
block 1 e -1.388562 c 1.493369 m 0.586922 m2 0.344477 m4 0.118665
block 2 e -1.375180 c 2.139306 m 0.564852 m2 0.319057 m4 0.101798
block 3 e -1.388887 c 1.802562 m 0.591326 m2 0.349667 m4 0.122267
block 4 e -1.372840 c 2.092723 m 0.554887 m2 0.307899 m4 0.094802
block 5 e -1.364031 c 1.941552 m 0.554203 m2 0.307141 m4 0.094336
block 6 e -1.373223 c 1.879251 m 0.564088 m2 0.318195 m4 0.101248
block 7 e -1.394168 c 1.673586 m 0.594773 m2 0.353755 m4 0.125143
block 8 e -1.390941 c 1.909363 m 0.604391 m2 0.365288 m4 0.133435
block 9 e -1.371906 c 2.000076 m 0.569717 m2 0.324577 m4 0.105350
