L 128 T 2.270 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.415529 c 2.209790 m 0.547600 m2 0.299866 m4 0.089920
block 1 e -1.417737 c 2.648150 m 0.544278 m2 0.296239 m4 0.087757
block 2 e -1.417658 c 2.123723 m 0.554557 m2 0.307533 m4 0.094577
block 3 e -1.419772 c 2.092166 m 0.553411 m2 0.306264 m4 0.093797
block 4 e -1.407367 c 2.541090 m 0.505446 m2 0.255475 m4 0.065268
block 5 e -1.420482 c 2.358807 m 0.566458 m2 0.320875 m4 0.102960
block 6 e -1.416274 c 2.065380 m 0.529890 m2 0.280784 m4 0.078839
block 7 e -1.416420 c 2.395821 m 0.539613 m2 0.291182 m4 0.084787
block 8 e -1.420007 c 2.281038 m 0.560617 m2 0.314291 m4 0.098779
block 9 e -1.415631 c 2.859199 m 0.525608 m2 0.276264 m4 0.076322
