L 256 T 2.267 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.422860 c 2.601469 m 0.544944 m2 0.307986 m4 0.103898
block 1 e -1.421455 c 2.122434 m 0.536410 m2 0.301526 m4 0.101294
block 2 e -1.420671 c 3.703046 m 0.519782 m2 0.289921 m4 0.097310
block 3 e -1.421890 c 3.475599 m 0.537982 m2 0.305751 m4 0.105433
block 4 e -1.421519 c 2.316377 m 0.523856 m2 0.292412 m4 0.097406
block 5 e -1.423774 c 2.530343 m 0.541905 m2 0.306153 m4 0.103836
block 6 e -1.423728 c 2.289545 m 0.527864 m2 0.295697 m4 0.099358
block 7 e -1.422412 c 2.463489 m 0.539685 m2 0.303537 m4 0.102031
block 8 e -1.423917 c 2.709187 m 0.533654 m2 0.301739 m4 0.103302
block 9 e -1.421167 c 3.364726 m 0.526305 m2 0.293598 m4 0.098442
