L 032 T 2.300 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.370477 c 1.781797 m 0.566824 m2 0.321290 m4 0.103227
block 1 e -1.383727 c 2.032382 m 0.573711 m2 0.329144 m4 0.108336
block 2 e -1.374789 c 1.820390 m 0.574576 m2 0.330138 m4 0.108991
block 3 e -1.380457 c 1.692401 m 0.582352 m2 0.339133 m4 0.115011
block 4 e -1.375945 c 1.826091 m 0.564717 m2 0.318905 m4 0.101700
block 5 e -1.377750 c 1.556564 m 0.579760 m2 0.336121 m4 0.112978
block 6 e -1.381570 c 1.679232 m 0.587539 m2 0.345202 m4 0.119165
block 7 e -1.355594 c 1.967967 m 0.536148 m2 0.287455 m4 0.082630
block 8 e -1.380453 c 1.935383 m 0.576793 m2 0.332690 m4 0.110683
block 9 e -1.383242 c 2.253851 m 0.578678 m2 0.334868 m4 0.112137
