L 064 T 2.272 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.416881 c 1.942565 m 0.585007 m2 0.370303 m4 0.162230
block 1 e -1.408737 c 2.027314 m 0.568762 m2 0.353928 m4 0.151199
block 2 e -1.407526 c 2.305497 m 0.572280 m2 0.355325 m4 0.152082
block 3 e -1.417424 c 2.433298 m 0.577890 m2 0.366361 m4 0.161926
block 4 e -1.412820 c 2.323769 m 0.576833 m2 0.362859 m4 0.158272
block 5 e -1.422591 c 2.390163 m 0.589770 m2 0.378155 m4 0.170661
block 6 e -1.417194 c 2.559894 m 0.585216 m2 0.369830 m4 0.163083
block 7 e -1.428307 c 2.082270 m 0.607229 m2 0.393337 m4 0.179181
block 8 e -1.412705 c 2.136784 m 0.575083 m2 0.358883 m4 0.154069
block 9 e -1.412643 c 2.180949 m 0.571266 m2 0.358149 m4 0.156654
