L 256 T 2.271 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.409461 c 2.627701 m 0.474623 m2 0.244611 m4 0.072420
block 1 e -1.412577 c 2.178787 m 0.494841 m2 0.261267 m4 0.079600
block 2 e -1.409801 c 3.445277 m 0.471655 m2 0.242511 m4 0.072126
block 3 e -1.415242 c 2.496175 m 0.508214 m2 0.274814 m4 0.086700
block 4 e -1.413175 c 2.810181 m 0.483285 m2 0.255666 m4 0.078918
block 5 e -1.413312 c 3.187905 m 0.489048 m2 0.257038 m4 0.078423
block 6 e -1.412605 c 2.820722 m 0.475928 m2 0.247801 m4 0.074944
block 7 e -1.413250 c 2.744971 m 0.480418 m2 0.251793 m4 0.076808
block 8 e -1.412094 c 3.307033 m 0.485579 m2 0.256950 m4 0.078929
block 9 e -1.408394 c 2.754407 m 0.450025 m2 0.228790 m4 0.066962
