L 064 T 2.266 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.424130 c 1.975851 m 0.593768 m2 0.379022 m4 0.169755
block 1 e -1.428018 c 2.259426 m 0.609946 m2 0.396191 m4 0.181700
block 2 e -1.430042 c 2.277601 m 0.608595 m2 0.399053 m4 0.185638
block 3 e -1.428624 c 2.084215 m 0.608665 m2 0.396422 m4 0.182668
block 4 e -1.438690 c 1.699385 m 0.622812 m2 0.411345 m4 0.192414
block 5 e -1.426534 c 2.377065 m 0.602167 m2 0.387284 m4 0.174866
block 6 e -1.423472 c 2.507084 m 0.600452 m2 0.385840 m4 0.173832
block 7 e -1.430342 c 2.304945 m 0.612052 m2 0.401786 m4 0.188155
block 8 e -1.433199 c 1.806527 m 0.612286 m2 0.398900 m4 0.183147
block 9 e -1.427254 c 2.078030 m 0.600818 m2 0.385639 m4 0.173161
