L 256 T 2.268 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.422210 c 3.226316 m 0.530105 m2 0.296621 m4 0.099577
block 1 e -1.421250 c 3.340862 m 0.523029 m2 0.293108 m4 0.099849
block 2 e -1.419826 c 3.093077 m 0.513895 m2 0.282711 m4 0.093232
block 3 e -1.420076 c 2.329869 m 0.525906 m2 0.291499 m4 0.095690
block 4 e -1.417330 c 3.415546 m 0.511600 m2 0.278630 m4 0.089728
block 5 e -1.422197 c 2.971822 m 0.538457 m2 0.305135 m4 0.104391
block 6 e -1.416756 c 2.661236 m 0.504787 m2 0.272258 m4 0.086153
block 7 e -1.418124 c 2.663474 m 0.500375 m2 0.272155 m4 0.087566
block 8 e -1.421475 c 2.178872 m 0.537000 m2 0.300660 m4 0.100182
block 9 e -1.419713 c 2.327231 m 0.527321 m2 0.290438 m4 0.093987
