L 064 T 2.262 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.426957 c 2.430359 m 0.602110 m2 0.389614 m4 0.178790
block 1 e -1.439874 c 2.059569 m 0.623955 m2 0.412929 m4 0.195834
block 2 e -1.446869 c 2.064411 m 0.650161 m2 0.440718 m4 0.214381
block 3 e -1.437823 c 2.051624 m 0.620630 m2 0.409032 m4 0.191476
block 4 e -1.440830 c 2.155724 m 0.637261 m2 0.427285 m4 0.204335
block 5 e -1.441726 c 2.225669 m 0.639512 m2 0.429687 m4 0.206415
block 6 e -1.439943 c 1.839646 m 0.636427 m2 0.425263 m4 0.202176
block 7 e -1.431403 c 1.940933 m 0.626032 m2 0.413143 m4 0.192818
block 8 e -1.436187 c 1.896327 m 0.624471 m2 0.411844 m4 0.191973
block 9 e -1.441508 c 1.963930 m 0.632626 m2 0.421747 m4 0.199771
