L 256 T 2.266 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.426917 c 3.033214 m 0.556967 m2 0.322739 m4 0.114347
block 1 e -1.430807 c 2.241227 m 0.570227 m2 0.335499 m4 0.121700
block 2 e -1.423047 c 3.103151 m 0.538292 m2 0.304587 m4 0.103978
block 3 e -1.426280 c 2.366139 m 0.560295 m2 0.323393 m4 0.113325
block 4 e -1.424015 c 2.846932 m 0.545496 m2 0.309838 m4 0.106468
block 5 e -1.426272 c 2.500831 m 0.560176 m2 0.324233 m4 0.114397
block 6 e -1.427493 c 2.251855 m 0.560567 m2 0.325316 m4 0.114799
block 7 e -1.420469 c 2.620976 m 0.531976 m2 0.296947 m4 0.098882
block 8 e -1.427661 c 2.534371 m 0.558157 m2 0.324532 m4 0.115807
block 9 e -1.426807 c 2.702777 m 0.569391 m2 0.331116 m4 0.116737
