L 016 T 2.320 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.401859 c 1.545547 m 0.666820 m2 0.444649 m4 0.197713
block 1 e -1.357187 c 1.633964 m 0.627797 m2 0.394129 m4 0.155338
block 2 e -1.385141 c 1.324291 m 0.651953 m2 0.425043 m4 0.180661
block 3 e -1.382453 c 1.372174 m 0.652703 m2 0.426021 m4 0.181494
block 4 e -1.378016 c 1.658992 m 0.645211 m2 0.416297 m4 0.173303
block 5 e -1.379156 c 1.633161 m 0.641367 m2 0.411352 m4 0.169210
block 6 e -1.359281 c 1.714593 m 0.623430 m2 0.388665 m4 0.151060
block 7 e -1.379469 c 1.376921 m 0.655742 m2 0.429998 m4 0.184898
block 8 e -1.392031 c 1.669352 m 0.651820 m2 0.424870 m4 0.180514
block 9 e -1.362437 c 1.708318 m 0.631008 m2 0.398171 m4 0.158540
