L 064 T 2.268 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.429053 c 1.862079 m 0.602103 m2 0.387310 m4 0.173946
block 1 e -1.431484 c 2.089323 m 0.607954 m2 0.395610 m4 0.182276
block 2 e -1.420311 c 2.228538 m 0.592435 m2 0.376447 m4 0.167235
block 3 e -1.431671 c 2.041679 m 0.608013 m2 0.396062 m4 0.182249
block 4 e -1.425911 c 2.073346 m 0.609399 m2 0.393975 m4 0.178515
block 5 e -1.424617 c 2.650192 m 0.600586 m2 0.389722 m4 0.179291
block 6 e -1.429358 c 2.428821 m 0.611192 m2 0.398650 m4 0.183730
block 7 e -1.432957 c 1.889967 m 0.616133 m2 0.406185 m4 0.189513
block 8 e -1.420866 c 2.454447 m 0.587447 m2 0.376194 m4 0.169861
block 9 e -1.420140 c 2.353580 m 0.594509 m2 0.383318 m4 0.174066
