L 128 T 2.266 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.427594 c 2.314365 m 0.574332 m2 0.349985 m4 0.139157
block 1 e -1.429724 c 2.107564 m 0.584977 m2 0.358025 m4 0.142360
block 2 e -1.430857 c 2.125214 m 0.593772 m2 0.367004 m4 0.148626
block 3 e -1.432266 c 2.198401 m 0.603136 m2 0.375959 m4 0.153537
block 4 e -1.426057 c 3.071668 m 0.568391 m2 0.344127 m4 0.137094
block 5 e -1.432766 c 2.142299 m 0.595371 m2 0.368724 m4 0.150401
block 6 e -1.426310 c 2.678001 m 0.587277 m2 0.359072 m4 0.142588
block 7 e -1.418771 c 2.861729 m 0.547901 m2 0.324258 m4 0.123483
block 8 e -1.426996 c 2.406767 m 0.555004 m2 0.336083 m4 0.134399
block 9 e -1.428572 c 2.711944 m 0.588383 m2 0.361378 m4 0.145847
