L 128 T 2.272 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.409967 c 3.074112 m 0.532394 m2 0.283444 m4 0.080340
block 1 e -1.414082 c 2.771774 m 0.532496 m2 0.283552 m4 0.080402
block 2 e -1.413797 c 2.755152 m 0.541361 m2 0.293071 m4 0.085891
block 3 e -1.410670 c 2.655413 m 0.521573 m2 0.272039 m4 0.074005
block 4 e -1.409740 c 2.622128 m 0.518185 m2 0.268515 m4 0.072100
block 5 e -1.412178 c 1.928379 m 0.527893 m2 0.278671 m4 0.077657
block 6 e -1.416469 c 2.041342 m 0.537664 m2 0.289083 m4 0.083569
block 7 e -1.408045 c 2.251437 m 0.498529 m2 0.248531 m4 0.061768
block 8 e -1.416274 c 2.695667 m 0.546072 m2 0.298194 m4 0.088920
block 9 e -1.411379 c 2.858498 m 0.512809 m2 0.262973 m4 0.069155
