L 016 T 2.330 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.355500 c 1.819090 m 0.623406 m2 0.441174 m4 0.254210
block 1 e -1.343484 c 1.562249 m 0.609734 m2 0.422473 m4 0.234683
block 2 e -1.351625 c 1.578036 m 0.623164 m2 0.436518 m4 0.245893
block 3 e -1.342234 c 1.549734 m 0.602023 m2 0.413564 m4 0.226290
block 4 e -1.321172 c 1.711730 m 0.591805 m2 0.404295 m4 0.220476
block 5 e -1.359234 c 1.534391 m 0.626148 m2 0.442008 m4 0.251431
block 6 e -1.347562 c 1.698600 m 0.616430 m2 0.433037 m4 0.244890
block 7 e -1.352484 c 1.551702 m 0.617188 m2 0.430045 m4 0.240114
block 8 e -1.377188 c 1.326240 m 0.647914 m2 0.461918 m4 0.264915
block 9 e -1.343797 c 1.704708 m 0.620977 m2 0.434516 m4 0.243422
