L 032 T 2.245 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.468719 c 1.863935 m 0.699566 m2 0.489393 m4 0.239506
block 1 e -1.471914 c 1.900871 m 0.700277 m2 0.490388 m4 0.240481
block 2 e -1.480125 c 1.507843 m 0.716635 m2 0.513565 m4 0.263749
block 3 e -1.473828 c 1.868443 m 0.703996 m2 0.495611 m4 0.245630
block 4 e -1.486953 c 1.698226 m 0.722736 m2 0.522348 m4 0.272847
block 5 e -1.463516 c 1.708469 m 0.692219 m2 0.479167 m4 0.229601
block 6 e -1.472895 c 1.761113 m 0.711518 m2 0.506257 m4 0.256296
block 7 e -1.478453 c 1.734979 m 0.715158 m2 0.511451 m4 0.261582
block 8 e -1.487742 c 1.484414 m 0.716551 m2 0.513445 m4 0.263626
block 9 e -1.479031 c 1.797761 m 0.711500 m2 0.506232 m4 0.256271
