L 032 T 2.290 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.373691 c 2.128364 m 0.558789 m2 0.358615 m4 0.171523
block 1 e -1.390504 c 1.816750 m 0.597621 m2 0.392885 m4 0.192141
block 2 e -1.400297 c 1.805480 m 0.596742 m2 0.395320 m4 0.194173
block 3 e -1.394793 c 2.074505 m 0.602896 m2 0.399998 m4 0.199430
block 4 e -1.391984 c 1.984346 m 0.597406 m2 0.397161 m4 0.198393
block 5 e -1.411738 c 1.688394 m 0.624191 m2 0.421385 m4 0.212219
block 6 e -1.382035 c 2.111645 m 0.579555 m2 0.379257 m4 0.185489
block 7 e -1.366793 c 2.280375 m 0.550631 m2 0.354400 m4 0.170143
block 8 e -1.400879 c 1.756630 m 0.622070 m2 0.417718 m4 0.208698
block 9 e -1.394285 c 2.009094 m 0.606896 m2 0.405684 m4 0.202359
