L 016 T 2.280 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.444609 c 1.648632 m 0.707227 m2 0.500169 m4 0.250169
block 1 e -1.439297 c 1.220878 m 0.706273 m2 0.498822 m4 0.248824
block 2 e -1.440109 c 1.505308 m 0.700328 m2 0.490459 m4 0.240551
block 3 e -1.434250 c 1.543969 m 0.702531 m2 0.493550 m4 0.243592
block 4 e -1.439469 c 1.452420 m 0.693719 m2 0.481246 m4 0.231597
block 5 e -1.429734 c 1.479710 m 0.693109 m2 0.480401 m4 0.230785
block 6 e -1.449938 c 1.508762 m 0.709367 m2 0.503202 m4 0.253212
block 7 e -1.427859 c 1.547667 m 0.684266 m2 0.468219 m4 0.219229
block 8 e -1.432453 c 1.727366 m 0.704430 m2 0.496221 m4 0.246235
block 9 e -1.433062 c 1.500983 m 0.693820 m2 0.481387 m4 0.231733
