L 032 T 2.265 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.450312 c 1.620310 m 0.679986 m2 0.488338 m4 0.269369
block 1 e -1.436887 c 1.794714 m 0.658598 m2 0.466460 m4 0.254104
block 2 e -1.431781 c 1.800806 m 0.654059 m2 0.459510 m4 0.245910
block 3 e -1.429035 c 2.068261 m 0.641965 m2 0.447207 m4 0.239890
block 4 e -1.445191 c 1.857710 m 0.668918 m2 0.475587 m4 0.260209
block 5 e -1.448602 c 1.622477 m 0.677824 m2 0.484815 m4 0.266224
block 6 e -1.452191 c 1.687889 m 0.668646 m2 0.477545 m4 0.263458
block 7 e -1.443277 c 1.881562 m 0.665627 m2 0.474431 m4 0.261254
block 8 e -1.433016 c 1.962792 m 0.660043 m2 0.463385 m4 0.248062
block 9 e -1.450133 c 1.534269 m 0.670920 m2 0.478191 m4 0.261998
