L 128 T 2.262 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.438832 c 2.590174 m 0.609843 m2 0.371908 m4 0.138316
block 1 e -1.439933 c 1.653395 m 0.629135 m2 0.395811 m4 0.156666
block 2 e -1.436960 c 2.413229 m 0.614127 m2 0.377152 m4 0.142244
block 3 e -1.431338 c 2.541398 m 0.590388 m2 0.348558 m4 0.121493
block 4 e -1.433964 c 2.991049 m 0.594081 m2 0.352932 m4 0.124561
block 5 e -1.434170 c 2.511933 m 0.606863 m2 0.368283 m4 0.135633
block 6 e -1.438746 c 2.605570 m 0.606869 m2 0.368290 m4 0.135637
block 7 e -1.440929 c 1.834726 m 0.624320 m2 0.389776 m4 0.151925
block 8 e -1.431858 c 2.616058 m 0.581573 m2 0.338227 m4 0.114398
block 9 e -1.441143 c 1.968782 m 0.618675 m2 0.382759 m4 0.146504
