L 016 T 2.220 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.501781 c 1.590032 m 0.750680 m2 0.563520 m4 0.317555
block 1 e -1.541422 c 1.258081 m 0.786383 m2 0.618398 m4 0.382416
block 2 e -1.516328 c 1.522312 m 0.760023 m2 0.577636 m4 0.333663
block 3 e -1.525766 c 1.308079 m 0.781508 m2 0.610754 m4 0.373021
block 4 e -1.513844 c 1.495224 m 0.765023 m2 0.585261 m4 0.342530
block 5 e -1.514391 c 1.583003 m 0.769625 m2 0.592323 m4 0.350846
block 6 e -1.520047 c 1.240957 m 0.776125 m2 0.602370 m4 0.362850
block 7 e -1.520797 c 1.450641 m 0.773188 m2 0.597819 m4 0.357387
block 8 e -1.527031 c 1.196066 m 0.779156 m2 0.607084 m4 0.368552
block 9 e -1.514281 c 1.217061 m 0.768484 m2 0.590568 m4 0.348771
