L 016 T 2.230 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.505953 c 1.288255 m 0.760094 m2 0.577743 m4 0.333786
block 1 e -1.517031 c 1.388273 m 0.765328 m2 0.585727 m4 0.343076
block 2 e -1.501234 c 1.458615 m 0.756102 m2 0.571690 m4 0.326829
block 3 e -1.502625 c 1.349009 m 0.753047 m2 0.567080 m4 0.321579
block 4 e -1.507875 c 1.272723 m 0.762961 m2 0.582109 m4 0.338851
block 5 e -1.498234 c 1.459337 m 0.755344 m2 0.570544 m4 0.325521
block 6 e -1.506312 c 1.440517 m 0.759625 m2 0.577030 m4 0.332964
block 7 e -1.492547 c 1.581917 m 0.744859 m2 0.554815 m4 0.307820
block 8 e -1.513766 c 1.473120 m 0.760945 m2 0.579038 m4 0.335285
block 9 e -1.534719 c 1.061261 m 0.779648 m2 0.607852 m4 0.369484
