L 256 T 2.273 nblock 010 nsamp 1000 ntherm 1000 seed 0
block 0 e -1.406322 c 2.615366 m 0.433484 m2 0.211337 m4 0.057628
block 1 e -1.405812 c 2.956057 m 0.450659 m2 0.225937 m4 0.064051
block 2 e -1.405771 c 3.072543 m 0.437226 m2 0.216093 m4 0.061078
block 3 e -1.402594 c 2.983303 m 0.413857 m2 0.199570 m4 0.054559
block 4 e -1.410052 c 2.711518 m 0.461052 m2 0.237100 m4 0.070461
block 5 e -1.398897 c 2.976947 m 0.401652 m2 0.189642 m4 0.049856
block 6 e -1.405604 c 2.677354 m 0.431574 m2 0.210932 m4 0.057920
block 7 e -1.408838 c 2.477154 m 0.465008 m2 0.235151 m4 0.067159
block 8 e -1.405308 c 2.408199 m 0.441525 m2 0.218076 m4 0.060705
block 9 e -1.410282 c 2.609153 m 0.467255 m2 0.238818 m4 0.070036
