L T t C
32 2.200000 35 421.98
32 2.200000 36 405.69
32 2.200000 37 392.00
32 2.200000 38 373.84
32 2.200000 39 363.17
32 2.200000 40 348.56
32 2.200000 41 339.52
32 2.200000 42 324.82
32 2.200000 43 316.26
32 2.200000 44 312.36
32 2.200000 45 303.31
32 2.200000 46 296.49
32 2.200000 47 282.67
32 2.200000 48 276.09
32 2.200000 49 269.22
32 2.200000 50 260.22
32 2.200000 51 248.56
32 2.200000 52 242.27
32 2.200000 53 233.89
32 2.200000 54 227.55
32 2.200000 55 218.87
32 2.200000 56 213.16
32 2.200000 57 206.94
32 2.200000 58 199.08
32 2.200000 59 197.89
32 2.200000 60 192.94
32 2.200000 61 186.67
32 2.200000 62 185.77
32 2.200000 63 182.75
32 2.200000 64 180.69
32 2.200000 65 177.36
32 2.200000 66 169.56
32 2.200000 67 170.88
32 2.200000 68 167.93
32 2.200000 69 166.60
32 2.200000 70 160.16
32 2.200000 71 159.43
32 2.200000 72 156.86
32 2.200000 73 153.78
32 2.200000 74 147.35
32 2.200000 75 145.61
32 2.200000 76 145.07
32 2.200000 77 148.57
32 2.200000 78 141.27
32 2.200000 79 138.20
32 2.200000 80 129.95
32 2.200000 81 126.93
32 2.200000 82 127.88
32 2.200000 83 125.60
32 2.200000 84 128.70
32 2.200000 85 121.97
32 2.200000 86 122.46
32 2.200000 87 129.59
32 2.200000 88 125.21
32 2.200000 89 125.60
32 2.200000 90 118.75
32 2.200000 91 108.11
32 2.200000 92 107.27
32 2.200000 93 101.30
32 2.200000 94 96.88
32 2.200000 95 84.87
32 2.200000 96 76.74
32 2.200000 97 77.87
32 2.200000 98 73.20
32 2.200000 99 65.33
32 2.200000 100 69.77
32 2.200000 101 64.62
32 2.200000 102 64.83
32 2.200000 103 71.93
32 2.200000 104 81.28
32 2.200000 105 88.22
32 2.200000 106 88.38
32 2.200000 107 84.73
32 2.200000 108 78.02
32 2.200000 109 82.81
32 2.200000 110 86.63
32 2.200000 111 88.10
32 2.200000 112 87.35
32 2.200000 113 83.65
32 2.200000 114 84.42
32 2.200000 115 84.89
32 2.200000 116 84.65
32 2.200000 117 88.45
32 2.200000 118 83.02
32 2.200000 119 78.52
32 2.200000 120 76.74
32 2.200000 121 71.12
32 2.200000 122 69.77
32 2.200000 123 59.39
32 2.200000 124 60.51
32 2.200000 125 62.16
32 2.200000 126 60.91
32 2.200000 127 52.60
32 2.200000 128 57.48
32 2.200000 129 60.62
32 2.200000 130 66.56
32 2.200000 131 60.95
32 2.200000 132 59.69
32 2.200000 133 60.75
32 2.200000 134 60.64
32 2.200000 135 63.06
32 2.200000 136 53.90
32 2.200000 137 48.08
32 2.200000 138 41.79
32 2.200000 139 40.40
32 2.200000 140 31.08
32 2.200000 141 28.34
32 2.200000 142 29.03
32 2.200000 143 29.63
32 2.200000 144 23.99
32 2.200000 145 19.52
32 2.200000 146 2.45
32 2.200000 147 -4.12
32 2.200000 148 -12.75
32 2.200000 149 -9.35
32 2.200000 150 -7.43
32 2.200000 151 -1.36
32 2.200000 152 5.50
32 2.200000 153 2.24
32 2.200000 154 0.94
32 2.200000 155 3.72
32 2.200000 156 6.24
32 2.200000 157 10.57
32 2.200000 158 4.97
32 2.200000 159 6.93
32 2.200000 160 10.36
32 2.200000 161 14.18
32 2.200000 162 7.52
32 2.200000 163 1.86
32 2.200000 164 -1.55
32 2.200000 165 3.15
32 2.200000 166 2.47
32 2.200000 167 -2.64
32 2.200000 168 -4.62
32 2.200000 169 -8.57
32 2.200000 170 -18.63
32 2.200000 171 -18.90
32 2.200000 172 -17.57
32 2.200000 173 -18.51
32 2.200000 174 -22.56
32 2.200000 175 -31.81
32 2.200000 176 -25.24
32 2.200000 177 -23.88
32 2.200000 178 -27.08
32 2.200000 179 -21.85
32 2.200000 180 -16.32
32 2.200000 181 -8.99
32 2.200000 182 -11.55
32 2.200000 183 -10.74
32 2.200000 184 -7.38
32 2.200000 185 -5.95
32 2.200000 186 -5.56
32 2.200000 187 -0.52
32 2.200000 188 -5.60
32 2.200000 189 -7.58
32 2.200000 190 -8.23
32 2.200000 191 -11.89
32 2.200000 192 -17.88
32 2.200000 193 -14.35
32 2.200000 194 -18.57
32 2.200000 195 -21.35
32 2.200000 196 -21.03
32 2.200000 197 -21.95
32 2.200000 198 -19.75
32 2.200000 199 -12.48
32 2.600000 0 4881.15
32 2.600000 1 2704.05
32 2.600000 2 1651.57
32 2.600000 3 1075.50
32 2.600000 4 730.64
32 2.600000 5 513.25
32 2.600000 6 375.23
32 2.600000 7 276.28
32 2.600000 8 198.45
32 2.600000 9 158.42
32 2.600000 10 123.05
32 2.600000 11 93.03
32 2.600000 12 66.56
32 2.600000 13 50.94
32 2.600000 14 44.18
32 2.600000 15 37.88
32 2.600000 16 31.85
32 2.600000 17 33.76
32 2.600000 18 33.51
32 2.600000 19 33.00
32 2.600000 20 24.96
32 2.600000 21 17.60
32 2.600000 22 16.48
32 2.600000 23 16.61
32 2.600000 24 15.76
32 2.600000 25 11.68
32 2.600000 26 12.15
32 2.600000 27 13.39
32 2.600000 28 2.52
32 2.600000 29 4.64
32 2.600000 30 6.41
32 2.600000 31 5.47
32 2.600000 32 7.12
32 2.600000 33 10.09
32 2.600000 34 6.28
32 2.600000 35 5.61
32 2.600000 36 5.56
32 2.600000 37 -8.03
32 2.600000 38 -14.16
32 2.600000 39 -16.97
32 2.600000 40 -13.38
32 2.600000 41 -13.59
32 2.600000 42 -18.88
32 2.600000 43 -23.20
32 2.600000 44 -23.32
32 2.600000 45 -18.30
32 2.600000 46 -10.06
32 2.600000 47 -13.79
32 2.600000 48 -20.90
32 2.600000 49 -22.53
32 2.600000 50 -20.95
32 2.600000 51 -27.19
32 2.600000 52 -23.27
32 2.600000 53 -19.28
32 2.600000 54 -12.00
32 2.600000 55 -7.79
32 2.600000 56 -4.40
32 2.600000 57 -11.27
32 2.600000 58 -23.83
32 2.600000 59 -22.92
32 2.600000 60 -30.95
32 2.600000 61 -28.44
32 2.600000 62 -26.07
32 2.600000 63 -25.38
32 2.600000 64 -18.68
32 2.600000 65 -16.73
32 2.600000 66 -19.54
32 2.600000 67 -15.59
32 2.600000 68 -8.49
32 2.600000 69 0.63
32 2.600000 70 2.71
32 2.600000 71 4.93
32 2.600000 72 8.70
32 2.600000 73 14.24
32 2.600000 74 11.14
32 2.600000 75 2.66
32 2.600000 76 8.10
32 2.600000 77 7.25
32 2.600000 78 -1.43
32 2.600000 79 3.74
32 2.600000 80 0.26
32 2.600000 81 -2.40
32 2.600000 82 -6.92
32 2.600000 83 -13.12
32 2.600000 84 -15.29
32 2.600000 85 -16.36
32 2.600000 86 -17.48
32 2.600000 87 -13.08
32 2.600000 88 -12.19
32 2.600000 89 -10.24
32 2.600000 90 -4.05
32 2.600000 91 0.50
32 2.600000 92 -3.03
32 2.600000 93 -2.69
32 2.600000 94 -4.60
32 2.600000 95 -7.30
32 2.600000 96 -5.04
32 2.600000 97 0.02
32 2.600000 98 -1.51
32 2.600000 99 1.82
32 2.600000 100 0.67
32 2.600000 101 1.37
32 2.600000 102 2.07
32 2.600000 103 -1.31
32 2.600000 104 -1.24
32 2.600000 105 -3.12
32 2.600000 106 -3.06
32 2.600000 107 -10.53
32 2.600000 108 -13.33
32 2.600000 109 -13.02
32 2.600000 110 -8.22
32 2.600000 111 -2.13
32 2.600000 112 -0.32
32 2.600000 113 -1.74
32 2.600000 114 -0.69
32 2.600000 115 10.67
32 2.600000 116 15.96
32 2.600000 117 22.62
32 2.600000 118 17.92
32 2.600000 119 9.95
32 2.600000 120 4.45
32 2.600000 121 3.32
32 2.600000 122 4.27
32 2.600000 123 7.25
32 2.600000 124 8.45
32 2.600000 125 4.42
32 2.600000 126 0.75
32 2.600000 127 -2.62
32 2.600000 128 7.46
32 2.600000 129 5.24
32 2.600000 130 3.21
32 2.600000 131 0.80
32 2.600000 132 1.53
32 2.600000 133 -1.25
32 2.600000 134 -0.46
32 2.600000 135 3.49
32 2.600000 136 2.72
32 2.600000 137 1.46
32 2.600000 138 2.31
32 2.600000 139 5.65
32 2.600000 140 1.65
32 2.600000 141 4.54
32 2.600000 142 -2.56
32 2.600000 143 -0.72
32 2.600000 144 2.51
32 2.600000 145 -4.82
32 2.600000 146 -6.00
32 2.600000 147 -3.30
32 2.600000 148 -5.66
32 2.600000 149 -4.39
32 2.600000 150 -5.34
32 2.600000 151 -10.99
32 2.600000 152 -9.73
32 2.600000 153 -13.05
32 2.600000 154 -12.53
32 2.600000 155 -7.94
32 2.600000 156 -14.02
32 2.600000 157 -14.89
32 2.600000 158 -17.25
32 2.600000 159 -12.93
32 2.600000 160 -5.43
32 2.600000 161 -9.11
32 2.600000 162 -13.02
32 2.600000 163 -8.92
32 2.600000 164 -5.59
32 2.600000 165 2.49
32 2.600000 166 6.26
32 2.600000 167 5.77
32 2.600000 168 5.17
32 2.600000 169 3.76
32 2.600000 170 2.46
32 2.600000 171 2.63
32 2.600000 172 10.22
32 2.600000 173 6.44
32 2.600000 174 3.19
32 2.600000 175 5.95
32 2.600000 176 2.81
32 2.600000 177 1.68
32 2.600000 178 -3.48
32 2.600000 179 1.48
32 2.600000 180 7.21
32 2.600000 181 -4.49
32 2.600000 182 -6.52
32 2.600000 183 -5.95
32 2.600000 184 -4.47
32 2.600000 185 -13.59
32 2.600000 186 -16.52
32 2.600000 187 -12.22
32 2.600000 188 -9.90
32 2.600000 189 -4.59
32 2.600000 190 -2.86
32 2.600000 191 -4.31
32 2.600000 192 1.93
32 2.600000 193 11.75
32 2.600000 194 13.10
32 2.600000 195 12.06
32 2.600000 196 6.36
32 2.600000 197 4.51
32 2.600000 198 3.41
32 2.600000 199 6.69
32 2.500000 0 5687.55
32 2.500000 1 3493.98
32 2.500000 2 2399.10
32 2.500000 3 1768.19
32 2.500000 4 1356.69
32 2.500000 5 1074.52
32 2.500000 6 872.06
32 2.500000 7 722.60
32 2.500000 8 613.06
32 2.500000 9 528.02
32 2.500000 10 456.64
32 2.500000 11 394.15
32 2.500000 12 346.09
32 2.500000 13 306.74
32 2.500000 14 283.87
32 2.500000 15 249.65
32 2.500000 16 222.26
32 2.500000 17 197.16
32 2.500000 18 180.96
32 2.500000 19 167.01
32 2.500000 20 151.23
32 2.500000 21 131.96
32 2.500000 22 126.02
32 2.500000 23 112.08
32 2.500000 24 105.42
32 2.500000 25 90.90
32 2.500000 26 80.35
32 2.500000 27 79.85
32 2.500000 28 74.87
32 2.500000 29 62.83
32 2.500000 30 60.66
32 2.500000 31 49.15
32 2.500000 32 38.98
32 2.500000 33 35.35
32 2.500000 34 36.33
32 2.500000 35 37.86
32 2.500000 36 31.65
32 2.500000 37 29.39
32 2.500000 38 28.82
32 2.500000 39 27.51
32 2.500000 40 30.51
32 2.500000 41 20.92
32 2.500000 42 15.78
32 2.500000 43 14.03
32 2.500000 44 12.71
32 2.500000 45 8.09
32 2.500000 46 10.41
32 2.500000 47 5.19
32 2.500000 48 -0.65
32 2.500000 49 -0.04
32 2.500000 50 -5.03
32 2.500000 51 -11.85
32 2.500000 52 -24.19
32 2.500000 53 -27.49
32 2.500000 54 -27.15
32 2.500000 55 -23.11
32 2.500000 56 -14.67
32 2.500000 57 -7.46
32 2.500000 58 -2.39
32 2.500000 59 -3.54
32 2.500000 60 -3.18
32 2.500000 61 -8.55
32 2.500000 62 -17.86
32 2.500000 63 -18.08
32 2.500000 64 -18.03
32 2.500000 65 -19.42
32 2.500000 66 -21.53
32 2.500000 67 -19.45
32 2.500000 68 -20.87
32 2.500000 69 -14.90
32 2.500000 70 -16.93
32 2.500000 71 -11.37
32 2.500000 72 -5.25
32 2.500000 73 -5.31
32 2.500000 74 -5.21
32 2.500000 75 -9.29
32 2.500000 76 -6.12
32 2.500000 77 -7.35
32 2.500000 78 -7.36
32 2.500000 79 -5.31
32 2.500000 80 -4.98
32 2.500000 81 4.45
32 2.500000 82 -2.23
32 2.500000 83 -2.90
32 2.500000 84 -1.56
32 2.500000 85 -1.53
32 2.500000 86 1.20
32 2.500000 87 6.41
32 2.500000 88 4.66
32 2.500000 89 9.66
32 2.500000 90 10.05
32 2.500000 91 9.49
32 2.500000 92 6.27
32 2.500000 93 1.60
32 2.500000 94 3.31
32 2.500000 95 -0.47
32 2.500000 96 -6.76
32 2.500000 97 -7.58
32 2.500000 98 -5.32
32 2.500000 99 -11.08
32 2.500000 100 -8.37
32 2.500000 101 -2.25
32 2.500000 102 -0.01
32 2.500000 103 3.15
32 2.500000 104 4.40
32 2.500000 105 4.13
32 2.500000 106 4.51
32 2.500000 107 3.37
32 2.500000 108 7.50
32 2.500000 109 12.53
32 2.500000 110 8.13
32 2.500000 111 4.36
32 2.500000 112 5.28
32 2.500000 113 8.44
32 2.500000 114 8.44
32 2.500000 115 11.24
32 2.500000 116 7.55
32 2.500000 117 8.75
32 2.500000 118 0.13
32 2.500000 119 -0.72
32 2.500000 120 0.17
32 2.500000 121 5.50
32 2.500000 122 5.66
32 2.500000 123 4.82
32 2.500000 124 -4.37
32 2.500000 125 -2.61
32 2.500000 126 -0.72
32 2.500000 127 -0.63
32 2.500000 128 5.16
32 2.500000 129 6.33
32 2.500000 130 10.26
32 2.500000 131 9.49
32 2.500000 132 4.02
32 2.500000 133 5.50
32 2.500000 134 11.77
32 2.500000 135 9.57
32 2.500000 136 10.97
32 2.500000 137 10.70
32 2.500000 138 12.75
32 2.500000 139 14.81
32 2.500000 140 17.57
32 2.500000 141 17.46
32 2.500000 142 8.89
32 2.500000 143 3.76
32 2.500000 144 1.81
32 2.500000 145 -4.91
32 2.500000 146 -2.72
32 2.500000 147 2.50
32 2.500000 148 3.60
32 2.500000 149 4.77
32 2.500000 150 5.77
32 2.500000 151 6.89
32 2.500000 152 7.67
32 2.500000 153 4.81
32 2.500000 154 5.72
32 2.500000 155 5.21
32 2.500000 156 1.93
32 2.500000 157 -0.99
32 2.500000 158 -2.32
32 2.500000 159 -5.00
32 2.500000 160 -3.05
32 2.500000 161 -12.12
32 2.500000 162 -7.12
32 2.500000 163 -10.13
32 2.500000 164 -9.71
32 2.500000 165 -3.13
32 2.500000 166 -0.77
32 2.500000 167 -6.71
32 2.500000 168 -7.20
32 2.500000 169 -11.46
32 2.500000 170 -14.20
32 2.500000 171 -10.43
32 2.500000 172 -12.35
32 2.500000 173 -12.91
32 2.500000 174 -11.53
32 2.500000 175 -11.98
32 2.500000 176 -11.30
32 2.500000 177 -5.06
32 2.500000 178 -2.46
32 2.500000 179 -0.09
32 2.500000 180 -8.57
32 2.500000 181 -12.27
32 2.500000 182 -5.89
32 2.500000 183 -2.43
32 2.500000 184 -0.87
32 2.500000 185 8.01
32 2.500000 186 2.02
32 2.500000 187 -2.90
32 2.500000 188 -5.90
32 2.500000 189 -8.94
32 2.500000 190 -7.38
32 2.500000 191 -17.27
32 2.500000 192 -19.70
32 2.500000 193 -22.54
32 2.500000 194 -17.27
32 2.500000 195 -17.58
32 2.500000 196 -14.43
32 2.500000 197 -11.91
32 2.500000 198 -9.02
32 2.500000 199 -5.65
32 2.400000 0 7594.88
32 2.400000 1 5370.68
32 2.400000 2 4228.43
32 2.400000 3 3533.30
32 2.400000 4 3065.33
32 2.400000 5 2723.18
32 2.400000 6 2458.53
32 2.400000 7 2241.26
32 2.400000 8 2062.48
32 2.400000 9 1916.04
32 2.400000 10 1794.16
32 2.400000 11 1679.21
32 2.400000 12 1572.08
32 2.400000 13 1480.47
32 2.400000 14 1400.59
32 2.400000 15 1326.30
32 2.400000 16 1254.90
32 2.400000 17 1189.11
32 2.400000 18 1128.07
32 2.400000 19 1082.82
32 2.400000 20 1029.26
32 2.400000 21 977.91
32 2.400000 22 942.41
32 2.400000 23 901.42
32 2.400000 24 868.30
32 2.400000 25 831.98
32 2.400000 26 791.78
