L 1024 T 2.269200
x 289 value 0.200185
x 290 value 0.200638
x 291 value 0.200377
x 292 value 0.200086
x 293 value 0.199868
x 294 value 0.200360
x 295 value 0.199892
x 296 value 0.200445
x 297 value 0.200166
x 298 value 0.199752
x 299 value 0.200006
x 300 value 0.199652
x 301 value 0.199557
x 302 value 0.200106
x 303 value 0.199639
x 304 value 0.199893
x 305 value 0.199219
x 306 value 0.199112
x 307 value 0.199288
x 308 value 0.199173
x 309 value 0.199047
x 310 value 0.199323
x 311 value 0.199178
x 312 value 0.198355
x 313 value 0.198548
x 314 value 0.198669
x 315 value 0.199088
x 316 value 0.198406
x 317 value 0.198559
x 318 value 0.198796
x 319 value 0.198006
x 320 value 0.198180
x 321 value 0.198049
x 322 value 0.198296
x 323 value 0.198422
x 324 value 0.197961
x 325 value 0.197901
x 326 value 0.198232
x 327 value 0.197319
x 328 value 0.198490
x 329 value 0.197641
x 330 value 0.197791
x 331 value 0.197766
x 332 value 0.197737
x 333 value 0.198017
x 334 value 0.197446
x 335 value 0.197501
x 336 value 0.197586
x 337 value 0.197349
x 338 value 0.197589
x 339 value 0.196898
x 340 value 0.197328
x 341 value 0.197003
x 342 value 0.197383
x 343 value 0.197344
x 344 value 0.196903
x 345 value 0.197146
x 346 value 0.197320
x 347 value 0.197751
x 348 value 0.197091
x 349 value 0.196835
x 350 value 0.196339
x 351 value 0.196541
x 352 value 0.196531
x 353 value 0.196533
x 354 value 0.196200
x 355 value 0.196523
x 356 value 0.196403
x 357 value 0.196180
x 358 value 0.196545
x 359 value 0.195796
x 360 value 0.196262
x 361 value 0.196470
x 362 value 0.196214
x 363 value 0.196233
x 364 value 0.195259
x 365 value 0.195795
x 366 value 0.196304
x 367 value 0.196378
x 368 value 0.195760
x 369 value 0.195728
x 370 value 0.195052
x 371 value 0.196101
x 372 value 0.196123
x 373 value 0.195597
x 374 value 0.195896
x 375 value 0.194927
x 376 value 0.195458
x 377 value 0.195405
x 378 value 0.195867
x 379 value 0.196024
x 380 value 0.195412
x 381 value 0.195806
x 382 value 0.195690
x 383 value 0.195219
x 384 value 0.195239
x 385 value 0.195340
x 386 value 0.194831
x 387 value 0.195060
x 388 value 0.194438
x 389 value 0.195138
x 390 value 0.194904
x 391 value 0.194967
x 392 value 0.194795
x 393 value 0.195063
x 394 value 0.195301
x 395 value 0.195460
x 396 value 0.194968
x 397 value 0.195094
x 398 value 0.194810
x 399 value 0.194435
x 400 value 0.194992
x 401 value 0.194232
x 402 value 0.194393
x 403 value 0.194872
x 404 value 0.194474
x 405 value 0.194267
x 406 value 0.194266
x 407 value 0.194823
x 408 value 0.194355
x 409 value 0.194329
x 410 value 0.194095
x 411 value 0.194572
x 412 value 0.194274
x 413 value 0.194525
x 414 value 0.194477
x 415 value 0.194359
x 416 value 0.193915
x 417 value 0.194355
x 418 value 0.194014
x 419 value 0.194316
x 420 value 0.194559
x 421 value 0.194769
x 422 value 0.193405
x 423 value 0.194375
x 424 value 0.194220
x 425 value 0.193680
x 426 value 0.193873
x 427 value 0.194491
x 428 value 0.193678
x 429 value 0.193507
x 430 value 0.193661
x 431 value 0.193746
x 432 value 0.193773
x 433 value 0.194200
x 434 value 0.193928
x 435 value 0.194532
x 436 value 0.193742
x 437 value 0.194125
x 438 value 0.193886
x 439 value 0.193118
x 440 value 0.194086
x 441 value 0.193618
x 442 value 0.193412
x 443 value 0.193370
x 444 value 0.194183
x 445 value 0.193752
x 446 value 0.193879
x 447 value 0.193117
x 448 value 0.193670
x 449 value 0.193343
x 450 value 0.193749
x 451 value 0.193605
x 452 value 0.193098
x 453 value 0.193301
x 454 value 0.193118
x 455 value 0.193374
x 456 value 0.193711
x 457 value 0.194059
x 458 value 0.193737
x 459 value 0.193490
x 460 value 0.193535
x 461 value 0.193005
x 462 value 0.193228
x 463 value 0.193329
x 464 value 0.193558
x 465 value 0.193361
x 466 value 0.192857
x 467 value 0.193374
x 468 value 0.194119
x 469 value 0.193242
x 470 value 0.193106
x 471 value 0.193750
x 472 value 0.193269
x 473 value 0.193058
x 474 value 0.192835
x 475 value 0.193275
x 476 value 0.193229
x 477 value 0.193373
x 478 value 0.193364
x 479 value 0.193185
x 480 value 0.192956
x 481 value 0.193387
x 482 value 0.192957
x 483 value 0.193072
x 484 value 0.193484
x 485 value 0.193050
x 486 value 0.193472
x 487 value 0.192937
x 488 value 0.193527
x 489 value 0.193289
x 490 value 0.193221
x 491 value 0.193147
x 492 value 0.193366
x 493 value 0.193362
x 494 value 0.193265
x 495 value 0.193031
x 496 value 0.193275
x 497 value 0.192627
x 498 value 0.193226
x 499 value 0.193361
x 500 value 0.192988
x 501 value 0.193372
x 502 value 0.193200
x 503 value 0.193188
x 504 value 0.192789
x 505 value 0.193042
x 506 value 0.193239
x 507 value 0.192615
x 508 value 0.192987
x 509 value 0.193258
x 510 value 0.192932
x 511 value 0.193541
x 512 value 0.193523
x 513 value 0.193405
x 514 value 0.193139
x 515 value 0.192347
x 516 value 0.193109
x 517 value 0.192451
x 518 value 0.193352
x 519 value 0.192993
x 520 value 0.192960
x 521 value 0.193289
x 522 value 0.193467
x 523 value 0.193431
x 524 value 0.193680
x 525 value 0.193674
x 526 value 0.193355
x 527 value 0.193475
x 528 value 0.192908
x 529 value 0.192830
x 530 value 0.192899
x 531 value 0.193614
x 532 value 0.192770
x 533 value 0.192917
x 534 value 0.192728
x 535 value 0.192955
x 536 value 0.192851
x 537 value 0.192058
x 538 value 0.193195
x 539 value 0.193252
x 540 value 0.193373
x 541 value 0.193193
x 542 value 0.193506
