L 64 T 3.750000
spin_corr:
x 0 value 91.818182
x 1 value 53.852851
x 2 value 40.773356
x 3 value 33.549622
x 4 value 28.452125
x 5 value 24.614223
x 6 value 21.944673
x 7 value 19.572085
x 8 value 18.096136
x 9 value 17.248946
x 10 value 15.987802
x 11 value 14.568377
x 12 value 13.239499
x 13 value 11.747720
x 14 value 11.122131
x 15 value 10.135821
x 16 value 9.915635
x 17 value 9.141830
x 18 value 8.510980
x 19 value 8.297033
x 20 value 8.010347
x 21 value 7.450038
x 22 value 7.628651
x 23 value 7.252057
x 24 value 6.761216
x 25 value 6.796590
x 26 value 6.395858
x 27 value 5.925018
x 28 value 5.782733
x 29 value 5.704431
x 30 value 5.161791
x 31 value 5.656508
x 32 value 5.847573
x 33 value 5.655877
x 34 value 5.162319
x 35 value 5.704469
x 36 value 5.782583
x 37 value 5.925293
x 38 value 6.397294
x 39 value 6.797326
x 40 value 6.761718
x 41 value 7.252134
x 42 value 7.629269
x 43 value 7.450230
x 44 value 8.010552
x 45 value 8.297308
x 46 value 8.510380
x 47 value 9.141657
x 48 value 9.915888
x 49 value 10.134719
x 50 value 11.122158
x 51 value 11.746996
x 52 value 13.239312
x 53 value 14.569077
x 54 value 15.987666
x 55 value 17.249447
x 56 value 18.096115
x 57 value 19.572658
x 58 value 21.945299
x 59 value 24.613348
x 60 value 28.452538
x 61 value 33.550473
x 62 value 40.773847
x 63 value 53.853622
