L 4096 T 2.269200
spin_corr:
x 0 value 1.000000
x 1 value 0.707215
x 2 value 0.594894
x 3 value 0.536048
x 4 value 0.498161
x 5 value 0.470767
x 6 value 0.449969
x 7 value 0.432669
x 8 value 0.418542
x 9 value 0.406441
x 10 value 0.396163
x 11 value 0.386530
x 12 value 0.377992
x 13 value 0.370791
x 14 value 0.364139
x 15 value 0.357674
x 16 value 0.352050
x 17 value 0.346916
x 18 value 0.342012
x 19 value 0.337399
x 20 value 0.333054
x 21 value 0.329218
x 22 value 0.325338
x 23 value 0.321734
x 24 value 0.318062
x 25 value 0.315095
x 26 value 0.311979
x 27 value 0.309225
x 28 value 0.306274
x 29 value 0.303485
x 30 value 0.301071
x 31 value 0.298533
x 32 value 0.296313
x 33 value 0.294045
x 34 value 0.291752
x 35 value 0.290011
x 36 value 0.288029
x 37 value 0.285759
x 38 value 0.284068
x 39 value 0.282077
x 40 value 0.280442
x 41 value 0.278743
x 42 value 0.277004
x 43 value 0.275380
x 44 value 0.273826
x 45 value 0.272309
x 46 value 0.270945
x 47 value 0.269360
x 48 value 0.268091
x 49 value 0.266462
x 50 value 0.265335
x 51 value 0.263815
x 52 value 0.262699
x 53 value 0.261444
x 54 value 0.260536
x 55 value 0.259151
x 56 value 0.258124
x 57 value 0.257011
x 58 value 0.255858
x 59 value 0.255135
x 60 value 0.253596
x 61 value 0.252487
x 62 value 0.251464
x 63 value 0.250521
x 64 value 0.249785
x 65 value 0.248745
x 66 value 0.247867
x 67 value 0.246854
x 68 value 0.246025
x 69 value 0.244959
x 70 value 0.244297
x 71 value 0.243457
x 72 value 0.242338
x 73 value 0.241836
x 74 value 0.240785
x 75 value 0.240018
x 76 value 0.239529
x 77 value 0.238675
x 78 value 0.237754
x 79 value 0.237243
x 80 value 0.236374
x 81 value 0.235733
x 82 value 0.235077
x 83 value 0.234355
x 84 value 0.233462
x 85 value 0.232958
x 86 value 0.232091
x 87 value 0.231712
x 88 value 0.231246
x 89 value 0.230070
x 90 value 0.229392
x 91 value 0.229085
x 92 value 0.228358
x 93 value 0.227718
x 94 value 0.227013
x 95 value 0.226480
x 96 value 0.225883
x 97 value 0.225345
x 98 value 0.225040
x 99 value 0.224650
x 100 value 0.223880
x 101 value 0.223109
x 102 value 0.222795
x 103 value 0.222401
x 104 value 0.221720
x 105 value 0.220932
x 106 value 0.220631
x 107 value 0.219941
x 108 value 0.219854
x 109 value 0.219383
x 110 value 0.218702
x 111 value 0.218046
x 112 value 0.217662
x 113 value 0.217397
x 114 value 0.216790
x 115 value 0.216068
x 116 value 0.215918
x 117 value 0.215323
x 118 value 0.214902
x 119 value 0.214400
x 120 value 0.214313
x 121 value 0.213602
x 122 value 0.213097
x 123 value 0.212420
x 124 value 0.212327
x 125 value 0.211878
x 126 value 0.211804
x 127 value 0.211315
x 128 value 0.210744
x 129 value 0.210477
x 130 value 0.210236
x 131 value 0.209556
x 132 value 0.209303
x 133 value 0.208513
x 134 value 0.208205
x 135 value 0.208036
x 136 value 0.207516
x 137 value 0.207403
x 138 value 0.206861
x 139 value 0.206718
x 140 value 0.206318
x 141 value 0.205910
x 142 value 0.205624
x 143 value 0.205250
x 144 value 0.205104
x 145 value 0.204707
x 146 value 0.204168
x 147 value 0.203896
x 148 value 0.203732
x 149 value 0.203162
x 150 value 0.202905
x 151 value 0.202673
x 152 value 0.202218
x 153 value 0.201912
x 154 value 0.201682
x 155 value 0.201273
x 156 value 0.201188
x 157 value 0.200758
x 158 value 0.200393
x 159 value 0.199901
x 160 value 0.199531
x 161 value 0.199055
x 162 value 0.199412
x 163 value 0.198952
x 164 value 0.198770
x 165 value 0.198119
x 166 value 0.197804
x 167 value 0.197989
x 168 value 0.197629
x 169 value 0.197518
x 170 value 0.197169
x 171 value 0.196583
x 172 value 0.196565
x 173 value 0.195992
x 174 value 0.196150
x 175 value 0.195779
